芸名,読み仮名,誕生日,出身地,出身校,芸名の由来,愛称,役柄,退団年,備考
秋風 多江子,あきかぜ たえこ,10月11日,兵庫県神戸市,,百人一首,タマヰ氏,男役,1944年,
安土 保子,あづち やすこ,3月21日,,,,,,1937年,
安宅 関子,あたか せきこ,9月16日,,,,ミヤちゃん,娘役,1937年,
朝霧 優子,あさぎり ゆうこ,8月31日,,,,,,1937年,
千村 克子,ちむら かつこ,1月21日,大阪府,,,たけやんキリンタケさん,男役,1946年,
藤花 ひさみ,ふじはな ひさみ,3月28日,東京都新宿区,大阪女子英語学校,,ノンちゃんかず坊,娘役,1939年,夫は演出家の岡田恵吉
二葉 みちる,ふたば みちる,5月14日,,,平井房人が命名,,娘役,1937年,
二見 志摩子,ふたみ しまこ,7月28日,,,,,,1937年,
初花 蝶子,はつはな ちょうこ,8月14日,,,,,,1938年,
濱野 高子,はまの たかこ,,,,,,,1932年,
華澤 映子,はなざわ えいこ,4月12日,大阪府,,,おひさはんオヒサさん,娘役,1942年,改名後・華澤榮子
幾世 みな子,いくよ みなこ,11月14日,,,,,,1934年,
磯崎 浪江,いそざき なみえ,,,,,,,1932年,
泉川 美香子,いずみかわ みかこ,1月1日,大阪府大阪市,,,つじやん,男役,1942年,本名：中野貞子（1914年1月1日 - 2014年8月5日）、100歳で逝去。
糸野 玉子,いとの たまこ,10月15日,,,,,,1932年,
神代 錦,かみよ にしき,3月18日,鳥取県倉吉市,倉吉成徳学校,百人一首,イナちゃん靜いちゃんイナゴチャガちゃん,男役,1989年,戦時中に嘉美代錦（かみよ にしき）と表記姉は高砂松子姪は代々木ゆかり宝塚歌劇団理事日本舞踊・藤間松左在団中に死去
笠縫 清乃,かさい きよの,8月6日,岩手県八幡平市,小樽高等女学校,,ハカマ,男役,1942年,改名後・園井恵子（そのい けいこ）女優
草路 潤子,くさじ じゅんこ,1月26日,兵庫県神戸市,,,ジュンちゃん,娘役,1941年,
川原 いづみ,かわはら いづみ,3月3日,,,,,,1934年,
牧島 勇子,まきしま ゆうこ,8月1日,岡山県,梅花高等女学校,,セノチン,男役,1942年,改名後・社敬子（やしろ けいこ）俳優・二本柳寛夫人娘は二本柳敏江・潮玲子
紫 香澄,むらさき かすみ,,,,,,,1931年,
愛鶴 千足,まなづる ちたる,7月24日,,,,,,1935年,姉は網代木渡・直木眞弓
夏野 陽子,なつの ようこ,1月26日,,,,,男役,1938年,
高山 梢,たかやま こずえ,2月5日,,,,,,1936年,
立松 英子,たてまつ えいこ,8月5日,,大阪府立大手前高等女学校,,ソノちゃん,男役,1939年,妹は鈴鹿ゆみ子
八洲 岸子,やしま きしこ,,,,,,,1932年,
八重 春代,やえ はるよ,1月5日,,,,オホモリちゃん,男役,1944年,夫は三井弘次
長門 浦子,ながと うらこ,1月4日,,,,,,1935年,
大空 ひろみ,おおぞら ひろみ,1月1日,東京都千代田区,十三尋常小学校,明治天皇の御製「あさみどり澄みわたりたる大空の広きを己が心ともがな」から久米正雄が命名,ひろみちゃん,娘役,1939年,
沖 知子,おき ともこ,8月26日,,,,,,1934年,
櫻緋 紗子,さくら ひさこ,3月15日,広島県広島市中区,精華高等女学校,吉野山で観賞して感動した桜と小倉百人一首の紀友則の句を合わせる,カンちゃん,娘役,1940年,改名後・桜緋紗子（さくら ひさこ）俳優として活動した後に得度し、僧侶・小笠原日凰妹は若葉繁・旭映子
園芙 蓉,その ふよう,,,,,,,1932年,
島津 瑠璃子,しまづ るりこ,10月28日,,,,,,1932年,
月影 笙子,つきかげ しょうこ,1月17日,栃木県,,,トキワさん,男役,1941年,
瀧 はやみ,たき はやみ,10月2日,愛知県名古屋市,,,,,1933年,1933年7月10日、在団中に逝去
山川 美和子,やまかわ みわこ,,,,,,,1932年,
山鳥 りか子,やまどり りかこ,9月21日,,,,,,1934年,
