芸名,読み仮名,誕生日,出身地,出身校,芸名の由来,愛称,役柄,退団年,備考
葵由紀子,あおい ゆきこ,8月1日,大阪府,帝塚山学院,堀正旗が命名,フミちゃん,,1953年,
秋野たま子,あきの たまこ,11月16日,大阪府,豊中高等女学校,百人一首より叔母の芸名を襲名,照坊,,1954年,叔母は初代・秋野たま子
朝日ひかる,あさひ ひかる,3月6日,大阪府大阪市,,,お兄ちゃん,,1953年,
朝日奈世志子,あさひな よしこ,6月30日,神奈川県横浜市,高松高等女学校,母親が命名,トシちゃんトシ坊,,1956年,
芦津あさみ,あしづ あさみ,9月9日,北海道,京都光華高等女学校,能勢・妙見山住職が命名,,,1951年,
明日香京子,あすか きょうこ,9月9日,大阪府,淀の水高等女学校,万葉集,,,1954年,
天木美晴,あまき みはる,3月2日,東京都,三輪田高等女学校,母が命名,ミイちゃん,,1954年,改名後・天木三晴（あまき みはる）
天路律子,あまじ りつこ,10月15日,京都府,華頂高等女学校,天津乙女が命名,ギッちゃん,,1960年,
有馬稲子,ありま いねこ,4月3日,大阪府池田市,夕陽丘高等女学校,母（養母・実の伯母）の芸名を襲名,ミッちゃんネコちゃん,娘役,1953年,母（養母・実の伯母）は初代・有馬稻子
生島輝子,いくしま てるこ,4月5日,大阪府箕面市,梅花高等女学校,,てるちゃん,,1952年,
和泉佐代子,いずみ さよこ,11月2日,大阪府堺市,堺市立高等女学校,出生地と本名に因んで師が命名,イズキチ,,1958年,
一條圭子,いちじょう けいこ,,,,,,,1950年,
歌川波瑠美,うたがわ はるみ,4月1日,東京都,共立女子学園,,クロちゃん,,1987年,
宇津保千春,うつぼ ちはる,10月15日,兵庫県,西宮高等女学校,宇津保物語,松つん,,1958年,
海原はるみ,うなばら はるみ,1月3日,東京都,十文字高等女学校,,あっちゃん,,1958年,改名後・海原晴美（うなばら はるみ）
梅屋かをる,うめや かおる,9月19日,京都府,京都府立第一高等女学校,姉の芸名（竹屋みゆき）と関連,ツー坊,,1957年,姉は竹屋みゆき
大空ますみ,おおぞら ますみ,6月1日,大阪府,生野高等女学校,,マミちゃん,,1951年,
尾上さくら,おのえ さくら,11月12日,兵庫県神戸市,神戸市立第二高等女学校,近所に住んでいた初代・尾上さくらから貰う,ハムちゃんハムコ,,1957年,俳優・福田公子
賀川千草,かがわ ちぐさ,12月12日,石川県金沢市,石川県立第二高等女学校,出生地に因んで月影笙子が命名,ウエダさん,,1957年,
春日花子,かすが はなこ,2月6日,大阪府豊中市,大阪府立豊中高等女学校,母の芸名を襲名,サトコちゃん,,1956年,母は初代・春日花子
川霧朝子,かわぎり あさこ,5月23日,大阪府,豊中高等女学校,,イチノセさん,,1957年,改名後・川霧雅子（かわぎり まさこ）
呉竹みどり,くれたけ みどり,4月17日,京都府,華頂高等女学校,,ケエちゃん,,1954年,
紅もゆる,くれない もゆる,,,,,,,1951年,姉は千代田明子
上月あきら,こうづき あきら,10月9日,兵庫県神戸市,兵庫県立第三高等女学校,「三日月の影」上月城,コイちゃん,男役,1957年,後に娘役に転向改名後・上月左知子（こうづき さちこ）娘は嘉月絵理
木花咲耶,このはな さくや,2月7日,兵庫県,出石高等学校,伝説・コノハナサクヤ姫,コイさんコイちゃん,,1992年,
冴月ゆかり,さえづき ゆかり,10月2日,大阪府,淀の水高等女学校,尊師が命名,圭ちゃん,,1954年,
澤美鶴,さわ みつる,4月26日,大阪府大阪市,清水谷高等女学校,父が命名,ヤコちゃん,,1953年,
三条公子,さんじょう きみこ,2月1日,福岡県,久留米高等女学校,愛称のまま堀正旗が命名,エミちゃん,,1953年,
汐路みちる,しおじ みちる,1月7日,京都府,伏見高等女学校,川路龍子から貰う,,,1956年,
敷島千鳥,しきしま ちどり,,,,,,,1950年,
時雨乙和,しぐれ おとわ,8月13日,満州奉天省奉天市,奉天浪速高等女学校,自分で考案,マッちゃん,,1958年,
城美鳥,しろ みどり,9月18日,東京都中央区,白百合高等女学校,,ヤッコ,男役,1958年,改名後・城一世（しろ かずよ）
鈴風佐千代,すずかぜ さちよ,3月21日,東京都,目黒高等女学校,,アツコさん,,1952年,
瀬戸あけみ,せと あけみ,1月10日,香川県高松市,高松高等女学校,瀬戸内海に因む,横ちゃん,,1954年,
篁照子,たかむら てるこ,6月6日,京都府京都市,京都府立第一高等女学校,,,,1954年,
立花操,たちばな みさお,7月4日,神奈川県,川崎高等女学校,地名,,,1953年,
龍城のぼる,たつき のぼる,4月24日,愛知県岡崎市,甲子園高等女学校,出生地に因む,サーペエ,男役,1961年,
玉恵翠,たまえ みどり,6月5日,東京都,白百合高等女学校,小夜福子が命名,タマター坊,,1955年,
千里萬里,ちさと まり,12月16日,兵庫県神戸市,鳥取高等女学校,「芸の道を果てしなく歩め」母が命名,ミッチィ,,1951年,
月影美砂,つきかげ みさ,1月1日,兵庫県宝塚市,神戸女学院,打吹美砂から名前を取り、母校の院歌,アイコちゃん,,1953年,妹は宝三千代
筑波峯子,つくば みねこ,12月13日,兵庫県神戸市,親和高等女学校,百人一首,ミキコ,,1954年,
名和のり子,なわ のりこ,7月27日,東京都,鳥取県立由良高等女学校,出身地に因む,ノンちゃん,,1953年,
久方有哥,ひさかた ゆか,1月16日,東京都,東京都立第十高等女学校,,ユカちゃん,,1956年,改名後・久方ゆか（ひさかた ゆか）
藤乃高子,ふじの たかこ,1月25日,大阪府大阪市,プール学院,母の芸名を貰う,ヨネコ,娘役,1953年,母は富士野高子
船越かほる,ふなこし かおる,11月16日,和歌山県,梅花高等女学校,月影笙子の姉が命名,イノちゃん,,1954年,
