芸名,読み仮名,誕生日,出身地,出身校,芸名の由来,愛称,役柄,退団年,備考
葵 ちづる,あおい ちづる,2月15日,京都府京都市,鴨沂高等学校,京都・葵祭に因む,クリちゃん,,1964年,
安芸 ひろみ,あき ひろみ,8月2日,広島県広島市,国泰中学校,広島に因む,タオちゃん,男役,1967年,
朝風 香保里,あさかぜ かほり,2月14日,大阪府大阪市,箕面自由学園,尊師が命名,オイラアキラ,,1966年,
天月 てるよ,あまづき てるよ,2月11日,大阪府大阪市,宣真学園,尊師が命名,オオちゃん,,1966年,
亜矢 ゆたか,あや ゆたか,2月18日,東京都,麹町女子学園,,ベーボタキちゃん,,1972年,
杏 里美樹,あんり みき,10月26日,大阪府大阪市,武庫川学院,本名,みきちゃんみつ子,,1964年,
一井 まさみ,いちい まさみ,7月9日,兵庫県尼崎市,武庫川学院,尊師が命名,ナツちゃん,,1964年,
一条 ゆかり,いちじょう ゆかり,1月22日,京都府京都市,同志社中学校,京都の地名に因む,オナガ,,1965年,
潮 洋子,うしお ようこ,7月28日,中華人民共和国大連市,鷹匠中学校,尊師が命名,せつちゃん,,1968年,妹は鳳三千代・渚かほる
大海 竜子,おおみ りゅうこ,1月2日,静岡県浜松市,フェリス女学院,尊師が命名,ようこちゃん,,1970年,
尾上 貴子,おのえ たかこ,9月20日,兵庫県神戸市,山手女子学園,初代・尾上さくらに貰う,オメメちゃん,,1965年,
オ ラサ・イスラングラ,おらさ いすらんぐら,1月18日,タイ王国バンコク,KEMASIRI ANSOL,,オラコ,,1961年,タイ王国留学生
柏木 美代,かしわぎ みよ,2月15日,満州,神戸松蔭高等学校,毬るい子が命名,アコ,,1969年,
京 沙織,きょう さおり,4月20日,京都府京都市,同志社女子高等学校,父が命名,明美ちゃん黒やん,,1963年,
国 浩実,くに ひろみ,7月22日,東京都,東宝芸能学校,両親が命名,クンちゃんイガグリ,,1966年,妹は国さゆり
来島 わたる,くるしま わたる,9月15日,広島県広島市,広島音楽学校,地名より前田久吉が命名,ヨッちゃん,,1969年,
