芸名,読み仮名,誕生日,出身地,出身校,芸名の由来,愛称,役柄,退団年,備考
岩瀬 澄子,いわせ すみこ,,,,,,,1929年,
打出 もと子,うちで もとこ,,,,,,,1932年,改名後は峰松子（みね まつこ）
浦野 まつほ,うらの まつほ,,愛媛県松山市,,,,娘役,1931年,岸田辰彌夫人舅は岸田吟香孫は岸田尚義兄は岸田劉生姪は岸田麗子姪孫は岸田夏子
大町 かな子,おおまち かなこ,6月16日,,,,,,1935年,
笠原 和子,かさはら かずこ,11月14日,大阪府大阪市,,同期生の早蕨郁子が命名,,娘役,1935年,
賀茂 なか子,かも なかこ,9月8日,京都府,,百人一首,,,1935年,姉は雪野富士子改名後は加茂なか子
如月 照子,きさらぎ てるこ,12月5日,香川県小豆郡,,,團ちゃん團子山,,1935年,
小櫻 咲子,こざくら さきこ,3月1日,,,,,,1934年,
栄 蘭子,さかえ らんこ,,,,,,,1928年,
早蕨 郁子,さわらび いくこ,,京都府京丹後市,,,チバさん,,1929年,
島 幾代,しま いくよ,11月14日,,,,,,1935年,
花里 いさ子,はなさと いさこ,1月21日,兵庫県神戸市,,,,娘役,1948年,
速川 すみれ,はやかわ すみれ,,,,,,,1927年,
春名 夢子,はるな ゆめこ,,,,,,,1930年,
保良 さよ子,やすら さよこ,5月13日,,,,,,1936年,
松浪 とわ子,まつなみ とわこ,,,,,,,1929年,
御 幸市子,みゆき いちこ,6月20日,,,,エミちゃん,娘役,1936年,姉は田鶴園子姪は俳優・岡田茉莉子
八重 櫻子,やえ さくらこ,,,,,,,1928年,
青葉 満,あおば みつる,,東京都文京区,,,,,1931年,
浦路 もしほ,うらじ もしほ,,,,,,,1929年,
近江 比佐子,おおみ ひさこ,3月15日,,プール女学校,,,,1930年,息子は日本文学研究者の平山城児孫は作家の平山瑞穂改名後は近江ひさ子
小月 嘉子,おづき よしこ,,,,,,,1928年,改名後は小月保子（おづき よしこ）
櫻井 重子,さくらい しげこ,,,,,,,1925年,
住野 さへ子,すみの さえこ,1月12日,福岡県北九州市,,,ピーチ,,1932年,
田鶴 園子,たづる そのこ,10月25日,大阪府大阪市天王寺区,,,,男役,1932年,妹は御幸市子夫は俳優・岡田時彦娘は俳優・岡田茉莉子
玉緒 しのぶ,たまお しのぶ,,,,,,,1926年,
月見 小夜子,つきみ さよこ,,,,,,,1931年,
筑紫 美奈子,つくば みなこ,,,,,,,1928年,
初音 麗子,はつね れいこ,1月7日,兵庫県神戸市,松蔭高等女学校,,キューピーさんムーヤンムトウさんムーさんムトやん,男役,1945年,俳優・初音礼子宝塚新芸座座長
葉々 かつら,はば かつら,,,,,,,1925年,
光 静子,ひかり しずこ,8月22日,,,,,,1932年,
松風 律子,まつかぜ りつこ,8月11日,,,,エミ姉たん,,1933年,
水木 千々子,みずき ちぢこ,,,,,,,1926年,
三輪 ひとみ,みわ ひとみ,,,,,,,1930年,
香織 露子,かおり つゆこ,,,,,,,1927年,
柴仲 子,しば なかこ,,,,,,,1926年,
長柄 とめよ,ながら とめよ,,,,,,,1925年,
眞砂 鈴子,まさご すずこ,,,,,,,1927年,
嵯峨 あきら,さが あきら,9月8日,長崎県五島市,活水女学校,万葉集,オッチンコガラ,男役,1938年,長崎県観光土産チェーン会社「16番館」経営
藤波 倭子,ふじなみ しずこ,,,,,,,1928年,
