芸名,読み仮名,誕生日,出身地,出身校,芸名の由来,愛称,役柄,退団年,備考
愛田 まち,あいだ まち,3月26日,兵庫県西宮市,甲陵中学校,,アイちゃんマチ,娘役,1983年,総合舞台芸術家・中間裕子義姉は火の鳥美奈
あごう 沙知,あごう さち,1月23日,東京都台東区,千代田女学園,前進のGO・自分の行く道が幸せであるように,フミ,男役,1986年,
麻 光,あさ ひかり,1月4日,兵庫県宝塚市,宝塚高等学校,,マーチまあちゃん,男役,1978年,
朝香 じゅん,あさか じゅん,12月7日,東京都港区,森村学園,,ルコルリちゃん,男役,1991年,俳優・歌手
朝風 めぐみ,あさかぜ めぐみ,2月17日,兵庫県西宮市,宝塚第一中学校,父が命名,テケのりこちゃん,娘役,1982年,
新 千宏,あらた ちひろ,7月18日,山口県下関市,下関南高等学校,家族に名前,オヨウヨーコちゃん,娘役,1985年,改名後・新千ひろ（あらた ちひろ）東西化学産業社長・河野眞一郎夫人
安城 聖,あんじょう ひじり,8月30日,大阪府守口市,守口高等学校,,ボブ,男役,1977年,
五十鈴 さより,いすず さより,5月14日,兵庫県姫路市,姫路西高等学校,,,娘役,1976年,
一原 けい,いちはら けい,8月22日,京都府京都市,聖母学院高等学校,知人が命名,プリマ,娘役,2014年,
箙 かおる,えびら かおる,12月8日,兵庫県神戸市,神戸市立生田中学校,尊師が命名,チャル,男役,2017年,日本舞踊・若柳吉信代
江里 美幸,えり みゆき,3月31日,大阪府大阪市北区,相愛学園,,モトコ,娘役,1985年,妹は詩季なな帆
扇 千花,おうぎ ちか,6月6日,東京都目黒区,実践女子学園,扇千景が命名,ヤスコやっちゃん,娘役,1977年,日本舞踊・扇千花
大川 令於,おおかわ れお,9月1日,東京都目黒区,東京学芸大学附属中学校,,シカコれお,男役,1982年,
大城 つばさ,おおしろ つばさ,10月13日,大阪府池田市,箕面高等学校,自分で考案,マロンクリちゃんくりぼん,男役,1980年,
影 ちさと,かげ ちさと,10月20日,東京都,大妻女子大学附属中野女子高等学校,知人が命名,エッチャンハットはったん,男役,1980年,
風帆 里紗,かざほ りさ,9月26日,北海道帯広市,宝塚高等学校,自分で考案,すがちゃんリサ,男役,1978年,
桐 さと実,きり さとみ,10月25日,大阪府大阪市阿倍野区,東京都立神代高等学校,本名の一字を取って自分で考案,カタちゃん,男役,1989年,俳優
湖条 れいか,こじょう れいか,6月12日,兵庫県神戸市須磨区,渋谷高等学校,姉の芸名,ツッツれいか,娘役,1986年,姉は湖条千秋歌手
西城 杏奈,さいじょう あんな,1月28日,東京都港区,大妻女子大学附属中野女子高等学校,尊師が命名,マツボックリ,男役,1979年,
早乙女 マリア,さおとめ まりあ,1月1日,兵庫県西宮市,鳴尾高等学校,,ヨッシィマリヤ,娘役,1977年,
朱 雀薫,すじゃく かおる,5月24日,大阪府大阪市城東区,大阪信愛女学院,源氏物語,ハミンひろみちゃん,男役,1978年,後に娘役に転向日本舞踊・藤間勘子実娘は拓麻早希・瑠音舞佳
鈴 美音,すず みね,12月22日,東京都渋谷区,実践女子学園,尊師が命名,ユミちゃん,娘役,1987年,
瀬尾 はやみ,せお はやみ,6月29日,東京都小金井市,藤村女子高等学校,,ノア,男役,1984年,改名後・まどか輝（まどか てる）
千 みどり,せん みどり,7月8日,兵庫県西宮市,夙川学院,尊師が命名,みゆき,娘役,1980年,
環 潤,たまき じゅん,10月13日,兵庫県西宮市,神戸松蔭女子学院,家族で考案,クミツタ,男役,1980年,
千鳥 さくら,ちどり さくら,8月12日,東京都,女子美術大学附属,東京・千鳥が淵の桜より戸部銀作が命名,アッキーサクラちゃんアッコ,娘役,1981年,
