芸名,読み仮名,誕生日,出身地,出身校,芸名の由来,愛称,役柄,退団年,備考
愛田芽久,あいだ めぐ,8月20日,大阪府茨木市,大阪府立茨木西高等学校,家族で考案,ちほめぐ,娘役,2002年,
秋月章,あきづき しょう,11月22日,東京都新宿区,東亜学園,誕生月本名,ハマーあきよ,男役,2001年,
あさぎ裕南,あさぎ ゆうな,6月14日,神奈川県藤沢市,日本女子大学附属高等学校,家族で考案,みおこ,男役,2001年,
朝澄けい,あさずみ けい,1月28日,東京都新宿区,日本女子大学附属高等学校,,かよこかよちゃん,男役,2003年,
麻真もゆ,あさま もゆ,12月27日,大阪府堺市,城南学園高等学校,本名信濃追分・浅間山に因む,まゆこさかもとやあさま,男役,2003年,
彩吹真央,あやぶき まお,6月9日,大阪府東大阪市,四条畷学園,家族で考案,ゆみこ,男役,2010年,
あゆら華央,あゆら かお,5月28日,アメリカ合衆国カリフォルニア州トーランス,"South High School,Torrance",母が命名,ROSS,男役,2001年,
杏里ミチル,あんり みちる,5月28日,長野県佐久市,長野県岩村田高等学校,,なほ,娘役,2002年,
一優斗,かず ゆうと,11月2日,東京都中野区,成城学園高等学校,家族で考案,あー,男役,1998年,
花暢しおり,かのん しおり,12月19日,神奈川県鎌倉市,神奈川県立七里ガ丘高等学校,家族で考案,いがちゃんかのんちゃんしおり,娘役,2001年,
霧矢大夢,きりや ひろむ,10月2日,大阪府岸和田市,久米田高等学校,自分で考案,きりやんいとーちゃんきりちゃん,男役,2012年,
久遠麻耶,くおん まや,8月27日,熊本県下益城郡,九州女学院中学校,父が命名,マヤ,男役,2002年,
久路あかり,くじ あかり,1月1日,東京都港区,普連土学園高等学校,本名と母の芸名を一字貰い考案,あかり,娘役,2002年,
すがた香,すがた こう,1月18日,兵庫県神戸市,兵庫県立芦屋南高等学校,香寿たつきが命名,みつこ,男役,2002年,
千ほさち,せん ほさち,8月16日,大阪府堺市,羽衣学園高等学校,千手観音菩薩より恩師が命名,ほさち,娘役,1998年,退団後に森ほさちと改名
珠希かほ,たまき かほ,6月27日,岡山県岡山市,山陽女子高等学校,母が命名,もっちゃん,娘役,2000年,
奈月みか,なづき みか,10月16日,東京都杉並区,雙葉高等学校,家族で考案,なづき,娘役,2004年,
夏帆輝,なつほ あきら,3月22日,東京都町田市,目白学園高等学校,家族で考案,アキラくんなお,男役,1998年,
波輝晶,なみき あきら,6月11日,神奈川県藤沢市,神奈川県立湘南高等学校,湘南の海,じゅんじゅんこなみき,男役,1999年,
鳴海じゅん,なるみ じゅん,2月13日,京都府宇治市,聖母女学院高等学校,家族で考案,なるみみほ,男役,2003年,
初嶺まよ,はつね まよ,1月22日,静岡県静岡市,静岡県立清水南高等学校,家族で考案,はつねなおはっちゃん,男役,2007年,後に初嶺麿代と改名
早瀬鮎,はやせ あゆ,12月21日,大阪府吹田市,大阪府立北千里高等学校,家族で決定,ふたばキャルル,娘役,2000年,
春あゆか,はる あゆか,11月13日,兵庫県西宮市,西宮市立苦楽園中学校,,はるちゃんはるこ,娘役,2001年,
春鹿一輝,はるか いっき,6月15日,兵庫県芦屋市,兵庫県立芦屋高等学校,自分で考案,はっせー,男役,1997年,
飛翔夕,ひしょう ゆう,5月13日,神奈川県横浜市,昭和高等学校,松井五郎が命名,るり,男役,1998年,
風吹あゆ,ふぶき あゆ,5月17日,東京都港区,青山学院高等部,家族で考案,ハネ,男役,1997年,
舞花京,まいはな きょう,5月16日,京都府京都市,京都女子高等学校,尊師が命名,はるみはるぼん,娘役,1998年,
真澄うらら,ますみ うらら,5月7日,広島県芦品郡,ノートルダム清心女子高等学校,尊敬する人が命名,うららうりゃ,娘役,1999年,
真竹すぐる,またけ すぐる,2月21日,大阪府豊中市,大阪府立北野高等学校,,すぐる,男役,2003年,
毬穂えりな,まりほ えりな,8月16日,大阪府大阪市,大阪市立西淀川高等学校,尊敬する人が命名,きゃみ,娘役,2006年,
水沢葉月,みずさわ はづき,8月18日,兵庫県川西市,雲雀丘学園,家族で考案,みちこ,娘役,1999年,
水瀬あお,みなせ あお,7月4日,神奈川県横浜市,玉川学園高等部,家族で決定,あお,男役,2001年,
南帆香凜,みなほ かりん,9月13日,東京都杉並区,雙葉高等学校,家族で考案,はなえ,男役,2000年,
美椰エリカ,みや えりか,4月26日,山形県山形市,夙川学院高等学校,本名,えりか,娘役,2000年,
紫野ゆき,むらさきの ゆき,5月31日,東京都目黒区,白百合学園,万葉集,ひらりひらりん,娘役,1999年,
芽衣かれん,めい かれん,5月17日,東京都世田谷区,堀越高等学校,尊師が命名,ぶよめかり,娘役,1997年,
百花沙里,ももか さり,9月13日,埼玉県さいたま市,川村学園,百花繚乱,ももまぁーたん,娘役,2010年,
結輝真由,ゆうき まゆ,11月17日,東京都新宿区,学習院女子高等科,,くみ,娘役,1999年,
夢奈さや,ゆめな さや,12月12日,東京都渋谷区,玉川学園,好きな言葉（夢）と父の郷里・奈良県,めな,娘役,2002年,
