芸名,読み仮名,誕生日,出身地,出身校,芸名の由来,愛称,役柄,退団年,備考
愛 ゆりや,あい ゆりや,8月16日,兵庫県尼崎市,夙川学院,,アイちゃん,娘役,1985年,
愛甲 充,あいこう みつる,10月26日,広島県福山市,暁の星女子中学校,多くの方から愛して貰えるように,ゆの,男役,1991年,
安輝 ひさと,あき ひさと,12月6日,大阪府大阪市南区,帝塚山学院,姓名判断,サカコサコちゃん,男役,1989年,
阿樹 かつら,あぎ かつら,2月25日,広島県呉市,大阪府立春日丘高等学校,,オキ,娘役,1996年,
朝雲 こがね,あさぐも こがね,1月23日,大阪府大阪市東住吉区,宣真高等学校,ゲーテの詩より,みえちゃん,娘役,1987年,
泉 つかさ,いずみ つかさ,2月17日,石川県金沢市,北陸学院,泉鏡花より,RIE,男役,1997年,
歌敷 綾花,うたしき あやか,12月19日,兵庫県神戸市須磨区,武庫川学院,母の芸名,バンちゃん,娘役,1989年,
榎 利佳,えのき りか,7月21日,大阪府大阪市,向陽台高等学校,知人が命名,ミカヨミカちゃん,娘役,1984年,後に榎りかに改名
大咲 実果,おおさき みか,10月31日,大阪府堺市,松蔭女子学院,家族で考案,のりちゃんひじき,男役,1989年,
風早 三穂,かざはや みほ,4月12日,東京都豊島区,百合学院高等学校,万葉集より知人が命名,りか,娘役,1984年,
舵 一星,かじ いっせい,3月12日,東京都葛飾区,国府台女子高等学校,,みつよみっちゃん,男役,1991年,
賀美 さつき,かみ さつき,2月23日,東京都練馬区,川村学園高等学校,志茂田景樹が命名,ロコ,娘役,1986年,
北原 遙子,きたはら ようこ,4月23日,神奈川県横浜市,横浜平沼高等学校,,ゆみちゃんゆみこ,娘役,1984年,後に北原遥子に改名
潔香 しのぶ,きよか しのぶ,5月6日,神奈川県藤沢市,藤沢高等学校,本名より自分で考案,キヨカ,男役,1983年,
黒木 瞳,くろき ひとみ,10月5日,福岡県八女市,八女高等学校,五木寛之が命名,ショーコ,娘役,1985年,
小乙 女幸,さおとめ さち,7月10日,東京都練馬区,武蔵野女子学院高等学校,母の芸名,林檎,娘役,1998年,
沙霧 じゅん,さぎり じゅん,11月12日,愛知県名古屋市,瑞陵高等学校,,ネコ,男役,1982年,
幸風 イレネ,さちかぜ いれね,3月6日,メキシコ合衆国,Esc. Sec. Prep. de la Ciud. メキシコ,,イレネ,男役,1993年,
涼風 真世,すずかぜ まよ,9月11日,宮城県石巻市,大阪薫英高等学校,扇風機・「涼風」,かなめ,男役,1993年,
夏 樹智,なつき とも,10月24日,群馬県桐生市,桐生女子高等学校,,みんごみどりちゃん,男役,1984年,
夏草 かをり,なつくさ かおり,10月1日,京都府京都市,長岡第三中学校,万葉集より尊敬する人が命名,メザかをり,娘役,1983年,
並樹 かおり,なみき かおり,12月15日,滋賀県大津市,粟津中学校,本名より自分で考案,カオリ,娘役,1989年,
南郷 希恵,なんごう きえ,10月6日,長野県佐久市,二階堂高等学校,本名より,きえちゃん,男役,1985年,
萩 奈緒美,はぎ なおみ,10月26日,東京都中央区,ノートルダム学園新潟清心女子高等学校,母の芸名,さきちゃんさきこ,娘役,1989年,
花 朱里,はな あかり,1月18日,福岡県福岡市西区,福岡市精華女子高等学校,知人が命名,ともちゃん,娘役,1983年,
文月 玲,ふづき れい,7月9日,埼玉県熊谷市,熊谷女子高等学校,誕生月本名,ふっちゃんふっさま,男役,1989年,
舞 希彩,まいき あや,4月15日,東京都国立市,羽衣学園,知人が命名,えみ,娘役,1994年,娘は咲彩いちご
増美 ゆた賀,ますみ ゆたか,1月18日,兵庫県宝塚市,芦屋学園,知人が命名,ふみよ,男役,1988年,
街 麻利衣,まち まりい,2月25日,東京都港区,トキワ松学園,阿久悠が命名,きよーの,娘役,1984年,
真矢 みき,まや みき,1月31日,大阪府豊中市,豊中市立第二中学校,真っ直ぐ矢のように,ミキ,男役,1998年,後に真矢ミキに改名
麻梨 いつか,まり いつか,7月15日,東京都北区,淑徳高等学校,,マミ,娘役,1983年,
毬藻 えり,まりも えり,6月3日,東京都府中市,共立女子第二高等学校,,シギ,娘役,1992年,
水原 環,みずはら たまき,8月6日,兵庫県神戸市,緑台高等学校,,タラたかちゃん,娘役,1987年,
三ツ矢 直生,みつや なお,4月21日,東京都世田谷区,九段白百合学園,毛利元就の教え,ゆかちゃん,男役,1990年,後に三矢直生に改名
緑中 陽子,みどりなか ようこ,7月26日,北海道帯広市,宣真高等学校,知人が命名,ユキちゃんなつみちゃん,娘役,1984年,
宮 麻里奈,みや まりな,3月24日,神奈川県藤沢市,聖園女学院,知人が命名,まゆみ,男役,1987年,
佑汐 まな花,ゆうしお まなか,9月3日,大阪府豊中市,豊中市立第十一中学校,,くみこ,娘役,1984年,
燁 明,よう あきら,6月12日,兵庫県神戸市中央区,中華同文学校,,ヨウちゃん,男役,1988年,息子はマリウス葉
梨花 ますみ,りか ますみ,4月14日,大阪府大阪市,夙川学院,,みと,娘役,,
