芸名,読み仮名,誕生日,出身地,出身校,芸名の由来,愛称,役柄,退団年,備考
七草 悦子,ななくさ えつこ,,,,,,,1932年,改名後・七草露子（ななくさ つゆこ）
月夜見 久子,つきよみ ひさこ,,,,,,,1932年,
水上 清子,みなかみ きよこ,5月13日,,愛知県第一高等女学校,水に因んで,,,1935年,
櫻井 七重,さくらい ななえ,9月1日,京都府,同志社女学校,,オカチン,娘役,1938年,
北原 時雨,きたはら しぐれ,12月1日,,大阪府立大手前高等女学校,,ナベちゃん,,1933年,
大路多 雅子,おおじ たかこ,3月21日,兵庫県神戸市,神戸市立第一高等女学校,,ショーさん,男役,1937年,
故里 しのぶ,ふるさと しのぶ,6月1日,,大阪府立生野高等女学校,,エグツちゃん,,1937年,
千鳥 関子,ちどり せきこ,9月27日,大阪府,,,,,1937年,
衣川 千浪,きぬかわ ちなみ,1月3日,,,,チュチュ,娘役,1937年,
玉津 眞砂,たまつ まさご,12月1日,石川県金沢市,大阪信愛高等女学校,,ニッシャンチビちゃん,娘役,1947年,
里野 小美智,さとの こみち,11月3日,,,,キュウリ,,1937年,
葵八 重子,あおい やえこ,11月9日,,相愛高等女学校,,ヤマヤマハン,娘役,1935年,姉は繪島千恵子
隼 律子,はやぶさ りつこ,4月16日,,大阪府立市岡高等女学校,,,,1935年,
越路 順子,こしじ じゅんこ,1月1日,,新潟県立巻高等女学校,,,,1933年,
篁 八十子,たかむら やそこ,8月19日,,,,トウさん,娘役,1937年,
志賀 都,しが みやこ,4月18日,,,,六クン,男役,1938年,
神路 日出子,かみじ ひでこ,10月5日,,,,おクリさん,娘役,1940年,
富士野 たかね,ふじの たかね,1月4日,長崎県,,伊井蓉峰が命名,チハルカツサンチハルツ,男役,1972年,改名後・冨士野高嶺（ふじの たかね）退団後は花柳禄春として活動元宝塚音楽学校顧問・元宝塚歌劇団同窓会「宝友会」会長宝塚歌劇OG墓碑「宝友之塔」建立に尽力平成17年神戸市文化活動功労賞受賞
千歳 君代,ちとせ きみよ,3月12日,,,,,男役,1937年,改名後・千歳百合子（ちとせ ゆりこ）
梅野 愛子,うめの あいこ,8月8日,大阪府,,,福さんお福,娘役,1947年,
檜垣 葉子,ひがき ようこ,10月17日,,,楳茂都陸平が命名,まめさん豆ちゃん,,1937年,
宮島 あき子,みやじま あきこ,1月31日,大阪府,,,笑ちゃん江みさん,男役,1940年,夫は楽団指揮者の溝口尭
東 龍子,あずま たつこ,1月20日,,,,,,1934年,
寶生 雅子,ほうしょう まさこ,12月11日,,,,,,1934年,
秦都 美子,はた とみこ,11月17日,,,,バタさん,娘役,1939年,夫はプロ野球選手の川村徳久
壽三 千代,ことぶき みちよ,10月25日,,大阪高等女子職業学校,,,娘役,1940年,
瑠璃 若子,るり わかこ,6月30日,,,,,,1937年,
末廣 榮子,すえひろ えいこ,7月2日,,,,マッちゃん,,1938年,
早瀬 千代子,はやせ ちよこ,6月21日,大阪府大阪市,,,ウマオヤッサン,,1939年,
摩耶 弘子,まや ひろこ,5月27日,,,,,,1934年,
葦原 邦子,あしはら くにこ,12月16日,兵庫県神戸市東灘区,尼崎市立高等女学校,豊葦原の瑞穂の國,アニキオカモトオカモスさん,男役,1939年,俳優中原淳一夫人
常盤 君子,ときわ きみこ,8月14日,,,,ブチ,,1936年,
翠松 子,みどり まつこ,8月18日,,神戸女学院,,千いちゃんなかっちょ,娘役,1937年,
高根 雪子,たかね ゆきこ,,,,,,,1932年,
長雲 喬子,ながくも きょうこ,,,,,,,1930年,1930年12月30日、在団中に逝去
那智 美奈子,なち みなこ,6月7日,,,,ノッペ,,1937年,
春日野 八千代,かすがの やちよ,11月12日,兵庫県神戸市生田区,九条第五尋常高等小学校,琵琶歌君が代,ヨッちゃんドヨチ,娘役,2012年,後に男役に転向歌劇団名誉理事日本舞踊・花柳禄八千代2012年8月29日、在団中に逝去
倭 ひふみ,やまと ひふみ,2月27日,,,,キヨちゃん,男役,1938年,改名後・倭一二三（やまと ひふみ）
若月 麗子,わかつき れいこ,,,,,,,1931年,
春山 かすみ,はるやま かすみ,1月13日,,,,おハル,,1937年,
難波 かつ子,なんば かつこ,2月1日,岡山県,,,コボンちゃん,娘役,1947年,改名後・難波章子（なんば あきこ）俳優
松浦 房子,まつうら ふさこ,5月11日,,,,トン公トンコ,娘役,1938年,
池水 幸子,いけみず さちこ,10月31日,,,,マエハン,,1932年,改名後・池水咲子（いけみず さきこ）
石山 うた子,いしやま うたこ,,,,,,,1934年,改名後・石山歌子（いしやま うたこ）
山吹 みさ子,やまぶき みさこ,,,,,,,1932年,改名後・山吹みや子（やまぶき みやこ）
御所 櫻子,ごしょ さくらこ,10月10日,,,,ノエさん,,1932年,
梅園 由紀子,うめぞの ゆきこ,1月16日,,鹿児島県立第二高等女学校,,,,1933年,
阿古屋 珠子,あこや たまこ,4月15日,,神戸市立第二高等女学校,,ゾーニ雪ちゃんタマちゃん,,1935年,
深草 彌生,ふかくさ やよい,1月1日,,神戸成徳高等女学校,,,,1933年,
御劔 敬子,みつるぎ けいこ,1月1日,大阪府,古屋英学塾女学部,,,男役,1942年,改名後・御鶴敬子（みつる けいこ）
若松 節子,わかまつ せつこ,2月14日,,大阪信愛高等女学校,,アマッチョアマチン,,1938年,
