芸名,読み仮名,誕生日,出身地,出身校,芸名の由来,愛称,役柄,退団年,備考
青もゆる,あお もゆる,9月10日,東京都世田谷区,堀越学園高等部,恩師が命名,キャンコポンちゃん,男役,1981年,
明都ゆたか,あきつ ゆたか,12月6日,東京都,芦屋女子高等学校,母と考案,ナマコユタ,男役,1988年,後に娘役に転向
朱鳥てるひ,あけどり てるひ,7月5日,兵庫県芦屋市,甲南女子高等学校,知人が命名,みいこ,男役,1985年,
麻岡真衣,あさおか まい,9月26日,東京都,東京女学館高等学校,,まいちゃん,娘役,1981年,
葦川牧,あしかわ まき,1月23日,東京都渋谷区,東京女学館,葦原邦子が命名,ネネ,娘役,1987年,
彩景じゅん,あやかげ じゅん,1月23日,東京都,東京女学館高等学校,両親と考案,マロ,男役,1985年,
綾乃にしき,あやの にしき,10月7日,京都府京都市,平安女学院高等学校,恩師が命名,レイコ,娘役,1982年,
池波ゆかり,いけなみ ゆかり,8月3日,大阪府大阪市,神戸市立魚崎中学校,家族で決定,えりちゃん,娘役,1983年,
一文字新,いちもんじ しん,10月27日,東京都世田谷区,東京女学館高等学校,「初心を忘れず芸一筋に」と、恩師が命名,ウエちゃん,男役,1986年,
篝輝,かがり あきら,8月26日,大阪府大阪市,豊島高等学校,,ノン,男役,1981年,
希城なつ紀,きしろ なつき,4月11日,埼玉県さいたま市,上野学園音楽科,家族で考案,カヨちゃんらんちゃん,男役,1984年,
清まさみ,きよ まさみ,11月20日,大阪府豊中市,豊中市立第二中学校,,キヨキーヨ,男役,1984年,
古代みず希,こだい みずき,10月24日,大阪府茨木市,大阪府立吹田東高等学校,自分で考案,みっちゃんMICK,男役,1996年,
冴月美和,さえづき みわ,3月14日,兵庫県神戸市,啓明女学院,知人が命名,アコみわちゃん,娘役,1982年,
五月梨世,さつき りせ,5月28日,兵庫県神戸市,松蔭女子学院,自分で考案,ツルモトちゃん,男役,1982年,
沙世あかり,さよ あかり,2月1日,大阪府池田市,被昇天学園,尊師が命名,じゅり,娘役,1989年,
純奈めぐ,じゅんな めぐ,11月1日,福岡県久留米市,乙訓高等学校,自分で考案,しおり,娘役,1988年,
白川亜樹,しらかわ あき,1月2日,京都府京都市,日吉ヶ丘高等学校,尊師が命名,きめゆうこ,男役,1984年,娘は芹香斗亜
調ゆう,しらべ ゆう,3月3日,東京都三鷹市,明星学園高等部,尊師が命名,さっちいさとにゃん,娘役,1983年,
鈴代まりや,すずしろ まりや,4月25日,大阪府大阪市,三国中学校,,アヤミちゃん,娘役,1980年,
空千草,そら ちぐさ,5月1日,東京都板橋区,豊島岡女子学園,,イチエ,娘役,1981年,後に千枝ゆか里に改名
立原かえ,たちはら かえ,5月24日,神奈川県茅ヶ崎市,平和学園,家族で考案,かえちゃん,娘役,1985年,
珠浦阿湖,たまうら あこ,8月30日,大阪府大阪市,大谷中学校,万葉集,あっちゃん,男役,1983年,
たまなめい,たまな めい,9月18日,アメリカ合衆国カリフォルニア州サンフランシスコ,北鎌倉学園,母が考案,メーベル,男役,1982年,
千沙まゆ香,ちさ まゆか,4月28日,兵庫県伊丹市,天王寺川中学校,尊師が命名,まりこタヌ,娘役,1983年,
十和田真澄,とわだ ますみ,11月30日,大阪府大阪市,宣真高等学校,,ウルシ,娘役,1984年,
夏野陽子,なつの ようこ,1月7日,京都府京都市下京区,京都女子高等学校,,はなちゃん,娘役,1987年,
野添さゆ紀,のぞえ さゆき,1月11日,大阪府大阪市阿倍野区,阿倍野中学校,自分で考案,くまちゃん,娘役,1994年,
野々宮あき,ののみや あき,9月21日,大阪府大阪市,大谷高等学校,京都・野々宮神社,のぶこ,娘役,1981年,
華丘玲巳,はなおか れみ,11月11日,兵庫県神戸市,武庫川学院,,イブ,娘役,1984年,
早瀬わたる,はやせ わたる,3月25日,京都府京都市下京区,京都女子高等学校,万葉集,まきらすかる,男役,1984年,
春風ひとみ,はるかぜ ひとみ,12月9日,東京都文京区,女子聖学院,尊師が命名,ひとみハルちゃん,娘役,1988年,
春野亜衣梨,はるの あいり,9月6日,東京都新宿区,山脇学園,尊師が命名,ヨッチ,男役,1985年,
春野亜里紗,はるの ありさ,9月6日,東京都新宿区,山脇学園,尊師が命名,ヨッコ,男役,1985年,
飛翔ひかる,ひしょう ひかる,11月25日,埼玉県川越市,朝霞高等学校,自分で考案,ゆまロセ,男役,1984年,
檜せいら,ひのき せいら,6月25日,東京都渋谷区,鷗友学園,檜舞台,セイラまありい,男役,1982年,
街田奈々,まちだ なな,9月5日,大阪府大阪市,四天王寺学園,知人と考案,わかめちゃんななちゃん,娘役,1983年,
鞠村奈緒,まりむら なお,11月13日,東京都,カリタス学園,,モヤシ,男役,1995年,
光木裕,みつき ゆう,9月13日,東京都新宿区,頌栄女子学院高等学校,尊師が命名,カコ,男役,1987年,
南風まい,みなかぜ まい,10月8日,大阪府大阪市東住吉区,鷗友学園,,マイマイマイchan,娘役,1988年,
杜けあき,もり けあき,7月26日,宮城県仙台市,仙台白百合学園高等学校,杜の都仙台・欅並木より島野武が命名,もりちゃんカリンチョ,男役,1993年,
結城繭,ゆうき まゆ,12月8日,東京都江東区,昭和女子大学附属高等学校,家族で考案,クリ,男役,1983年,
由樹あずさ,ゆき あずさ,8月3日,兵庫県西宮市,梅花高等学校,本名,ユキあずさ,娘役,1983年,
由梨かおる,ゆり かおる,9月16日,兵庫県宝塚市,甲南女子高等学校,榛名由梨が命名,スーちゃん,娘役,1985年,
渡はや,わたり はや,5月13日,大阪府堺市,羽衣学園中学校,家族で考案,どーこ,男役,1987年,
