芸名,読み仮名,誕生日,出身地,出身校,芸名の由来,愛称,役柄,退団年,備考
明海 千春,あけみ ちはる,3月28日,兵庫県明石市,神戸山手学園,出生地・明石海峡,タメちゃん,,1967年,
明宮 麗子,あけみや れいこ,10月25日,東京都,桜華高等学校,父が考案,ユキちゃん,,1965年,
芦笛 まり,あしぶえ まり,3月15日,東京都,梅花学園,居住地に因む,ノリコちゃんノンちゃん,,1964年,
芦屋 をとめ,あしや おとめ,12月25日,神奈川県横浜市,成美学園,評論家・荻原雪夫が命名,デコちゃんコーラ,,1969年,娘は北嶋麻実
飛鳥 京子,あすか きょうこ,10月23日,大阪府大阪市,相愛学園,恩師が命名,シロ,,1966年,
東路 光,あずまじ ひかる,1月28日,神奈川県鎌倉市,鎌倉女学院,両親が命名,チーナ,,1966年,姉は由比碧
天見 有子,あまみ ゆうこ,12月11日,大阪府大阪市,相愛学園,母が命名,ウッちゃん,,1965年,
糸井 しだれ,いとい しだれ,8月21日,大阪府茨木市,大阪府立島上高等学校,叔母（初代・糸井しだれ）の芸名を貰う,カヨちゃん,,1966年,
彩 奈奈子,いろどり ななこ,7月17日,静岡県静岡市,武庫川学院,,ヒデコちゃん,,1965年,
岩代 千奈波,いわしろ ちなみ,7月22日,大阪府大阪市,相愛学園,,オハル,,1976年,改名後・啓華世（けい はなよ）
江梨 みちよ,えり みちよ,10月12日,鹿児島県,啓明女学院中等部,知人の名を貰う,ユミ,,1967年,
大川 ひでみ,おおかわ ひでみ,6月14日,大阪府大阪市,大阪市立平野中学校,本名,ヒデミちゃん,,1968年,
折鶴 三千代,おりづる みちよ,5月13日,兵庫県神戸市,芦屋女子学園,水野成夫が命名,エッちゃん,,1968年,
加咲 晴美,かざき はるみ,1月15日,兵庫県津名郡,神戸松蔭女子学院,花の如く舞に加わり晴れやかに美しく,アコちゃんアッコちゃん,,1968年,
萱 二葉,かや ふたば,9月4日,東京都,千代田女学園,両親が考案,ボンコちゃん,,1966年,
久慈 かをり,くじ かおり,8月12日,大阪府貝塚市,帝塚山学院,家族で考案,キタモッちゃんミッちゃん,,1967年,
国 さゆり,くに さゆり,2月29日,東京都,東宝芸能学校,両親が命名,クンちゃん,,1965年,姉は国浩実
久 美栄,くみ さかえ,2月26日,大阪府大阪市,梅花学園,恩師が命名,オハナちゃん,,1966年,
郷 ちぐさ,ごう ちぐさ,9月15日,高知県土佐清水市,清水中学校,家族で考案,チャッチーボク,男役,1972年,
上路 里花,こうじ りか,5月4日,東京都,恵泉女学院,母が考案,コーちゃんレイちゃん,,1968年,
近 衛杏,このえ あんず,12月10日,兵庫県神戸市,神戸市立鷹匠中学校,劇作家・北条秀司が命名,ナオちゃんバンビー,,1973年,姉は近衛真理
小雪 ひかる,こゆき ひかる,1月20日,福島県福島市,福島女子高等学校,尊師が命名,アベちゃん,,1967年,娘は草凪佑季・桐島るか
嵯峨 かおる,さが かおる,6月14日,京都府京都市,洛東高等学校,出生地に因む,キミちゃん金太郎ちゃん,,1966年,
五月 圭子,さつき けいこ,9月13日,大阪府池田市,梅花学園,出身地の地名,キタちゃんキタコちゃん,,1969年,
里 麻莉子,さと まりこ,3月3日,兵庫県神戸市,松蔭女子学院,知人が命名,タッチン,,1968年,
佐保 ひかり,さほ ひかり,11月11日,大阪府大阪市,聖母女学院,小田実が命名,タッチン,,1965年,
沙和 光里,さわ みさと,5月5日,神奈川県横浜市,神奈川学園,知人が命名,ワコ,,1965年,
汐路 朝子,しおじ あさこ,3月29日,神奈川県横浜市,雙葉学園,蘆原英了が命名,マッちゃん,,1976年,
志吹 立美,しぶき たつみ,4月9日,東京都,小野学園,,ココ,,1966年,改名後・志吹直美（しぶき なおみ）
白滝 美沙子,しらたき みさこ,10月3日,大阪府豊中市,梅花学園,父が命名,おねえちゃん,,1966年,
姿 美々,すがた みみ,6月17日,神奈川県,逗子中学校,尊師が命名,ニヨちゃん,,1969年,
朱雀 ひろみ,すざく ひろみ,12月9日,三重県桑名市,東京上野学園,尊師が命名,タカ,,1972年,妹は朱雀美保
園 美咲,その みさき,11月11日,神奈川県横浜市,横浜女子高等学校,白井鐵造が命名,チョーコ,,1967年,
大滝 子,だい たきこ,10月20日,神奈川県横浜市,法政大学附属女子高等学校,大滝愛子が命名,ダイちゃん,男役,1976年,
竹里 早代,たけざと さよ,4月15日,大阪府大阪市,帝塚山学院,尊師が命名,サッちゃんサチコ,,1970年,日本舞踊・藤間勘早知
珠 梨英,たま りえ,10月16日,東京都,昭和女子大学附属昭和高等学校,祖父が命名,リレコヒデコちゃん,,1967年,演出家・柴田侑宏夫人
千里 万里,ちさと まり,5月27日,東京都,山脇学園,父が命名,ドンちゃん,,1965年,
千城 登,ちしろ のぼる,7月3日,大阪府大阪市,相愛学園,大阪府史跡・千早城,タケミエ,,1966年,
千歳 めぐみ,ちとせ めぐみ,1月19日,鳥取県鳥取市,鳥取南中学校,いつまでも恵まれているように,チコちゃん,,1964年,
椿 るみ,つばき るみ,12月5日,京都府宮津市,宮津中学校,,フッちゃん,,1977年,改名後・椿友里（つばき ゆり）姉は麻月鞠緒
桃香 こみち,とうか こみち,3月22日,兵庫県宝塚市,梅花学園,「論語」より恩師が命名,ミチ,,1967年,
名城 久仁子,なしろ くにこ,3月16日,愛知県名古屋市,椙山学園,出身地に因む,オミズ,,1968年,
匂 京子,におう きょうこ,8月9日,大阪府大阪市,梅花学園,知人の教師が命名,ミロク,,1967年,
初城 美紗保,はつしろ みさお,4月15日,岡山県岡山市,操山高等学校,尊師が命名,ミエちゃんオテラ,,1966年,
初日 富士子,はつひ ふじこ,9月1日,大阪府池田市,梅花学園,,ハッピーモンちゃん,,1971年,改名後・八洲千浪（やしま ちなみ）
花小 路諄,はなこうじ じゅん,9月5日,兵庫県神戸市,松蔭女子学院,尊師が命名,ジョー,,1980年,
薔薇 千香子,ばら ちかこ,9月20日,和歌山県御坊市,大阪女学院,尊師が命名,カリ,,1966年,
榛名 由梨,はるな ゆり,8月19日,兵庫県三田市,大社中学校,日本海軍巡洋艦「榛名」に因む,ショーちゃん,男役,1988年,
藤園 さとみ,ふじその さとみ,10月4日,東京都大田区,金城学院,家族で考案,オムコ,,1980年,
冬 樹幸,ふゆき さち,9月29日,福岡県福岡市,武庫川学院,雪に因み上級生が選定,オトミトミちゃん,,1965年,
穂高 しげ美,ほだか しげみ,12月4日,愛知県名古屋市,金城学院,,ゴクちゃん,,1967年,
保月 香,ほづき かおり,10月18日,大阪府,武庫川学院,尊師の一字を貰う,ベッシィ,,1965年,
萬 千光,まち ひかる,1月1日,奈良県大和高田市,大阪清水谷高等学校,白井鐵造が命名,マチコマンちゃん,,1972年,妹は萬千みのる
水の瀬 あきら,みずのせ あきら,8月27日,兵庫県西宮市,園田学園,家族で考案,エンちゃん,,1979年,
御園 ちさと,みその ちさと,4月16日,広島県広島市,広島女学院高等学校,尊師が命名,シマちゃんマサコちゃん,,1967年,
緑 珠貴,みどり たまき,9月10日,東京都,梅花学園,家族で考案,キクッちゃん,,1968年,
弥栄 みつる,やさか みつる,1月13日,東京都,東京女学館,尊敬する人の字を貰う,シゲちゃん,,1965年,
山路 ひろみ,やまじ ひろみ,7月26日,鳥取県米子市,米子西高等学校,知人が命名,オダちゃんヒロミちゃん,,1968年,
山水 美幸,やまみず みゆき,10月10日,東京都立川市,桐朋女子学園,出身校に因む,ミコちゃん,,1966年,
結城 龍美,ゆうき たつみ,,,,,,男役,不明,
弓月 桂,ゆづき かつら,9月15日,岐阜県岐阜市,岐阜商業高等学校,尾上松禄が命名,キリちゃん,,1969年,姉は鮎川三鶴・鮎川三知代
夢 煌,ゆめ きらら,7月25日,東京都,山脇学園,柴田睦陸が命名,サザエ,,1966年,
