芸名,読み仮名,誕生日,出身地,出身校,芸名の由来,愛称,役柄,退団年,備考
吾妻 都,あづま みやこ,,,,,オヒラ,,1949年,
静町 美紗代,しずまち みさよ,4月12日,大阪府,大阪淀の水高等女学校,,北村さん,,1952年,
高千穂 肇,たかちほ はじめ,,,,,,,1944年,
上野 櫻子,うえの さくらこ,,,,,,,1944年,
沙月 しをり,さつき しをり,,,,,,,1944年,
千尋 洋子,ちひろ ようこ,,,,,,,1944年,
最上 幸子,もがみ さちこ,,,,,,,1946年,
紅貝 美映,べにがい みえ,6月20日,,,,,,1945年,
筑紫 弘子,つくし ひろこ,,,,,,,1944年,
園 めぐみ,その めぐみ,,,,,,,1944年,
浦安 稜美,うらやす いつみ,,,,,,,1944年,
浅香 信子,あさか のぶこ,,,,,,,1946年,
陽炎 翔子,かげろう しょうこ,,,,,,,1944年,
渥美 洋子,あつみ ようこ,,,,,,,1944年,
三鷹 恵子,みたか けいこ,8月16日,広島県広島市,広島市立高等女学校,,エムコケイバケラ,,1986年,
朝丘 麗子,あさおか れいこ,,,,,,,1946年,
千代 薫,ちよ かおる,2月17日,東京都,,,たみちゃん,,1953年,姉は大路三千緒娘は葦笛るか
鳴美 千賀子,なるみ ちかこ,11月17日,京都府八幡市,,,ショーちゃん,,1961年,
矢花 星江,やばな ほしえ,,,,,守谷さん,,1950年,
千春 たか子,ちはる たかこ,,,,,,,1950年,
浦路 千鶴,うらじ ちづる,1月15日,福岡県,,,かっちゃん,,1956年,
網代木 渡,あじろぎ わたる,,,,,コシちゃん,,1950年,改名後・若草みつる（わかくさ みつる）
瀬戸 明海,せと あけみ,,,,,,,1952年,
明石 照子,あかし てるこ,2月25日,兵庫県神戸市,大阪桜蘭女学校,,テーリー,男役,1962年,俳優
伏見 和子,ふしみ かずこ,4月14日,広島県呉市,,,ワコちゃん,娘役,1951年,夫は齊藤喜久蔵
菜隠 美夜,はがくれ みや,,,,,,,1947年,改名後・京野月子（きょうの つきこ）
洋 渡,ひろ わたる,,,,,,,1947年,
新羅 笙子,しんら しょうこ,11月3日,滋賀県大津市,,大津市の新羅三郎が笙の笛を吹いていた事から父が名付けた,明ちゃん,,1950年,
長良 しのぶ,ながら しのぶ,6月26日,岐阜県岐阜市,,長良川に因みどんな苦しみにも耐え忍ぶように,カスミ,,1956年,
春駒 いさみ,はるこま いさみ,,,,,,,1946年,
浦安 伸子,うらやす のぶこ,1月31日,静岡県静岡市,,,やっちゃん,娘役,1954年,
久世 美子,くぜ よしこ,5月30日,秋田県秋田市,,,ニャンコちゃん,,1951年,
宮凪 龍子,みやなぎ りゅうこ,1月14日,石川県金沢市,錦州,,チノ,,1954年,改名後・朝路さなへ（あさじ さなへ）
