芸名,読み仮名,誕生日,出身地,出身校,芸名の由来,愛称,役柄,退団年,備考
明石 純,あかし じゅん,6月5日,兵庫県明石市,神戸山手学園,出生地生月（6月）,かこちゃんととこ,男役,1974年,
茜 千夏,あかね ちなつ,12月11日,東京都,二階堂高等学校,家族と友人に相談して決定,マミ,娘役,1970年,
秋 露路,あき つゆじ,3月18日,宮城県仙台市,PL学園中学校,尊師が命名,ムクちゃんキアちゃん,娘役,1971年,
朝風 薫,あさかぜ かおる,3月17日,兵庫県伊丹市,伊丹市立伊丹高等学校,白井鐵造が命名,タワちゃん,男役,1972年,
麻実 れい,あさみ れい,3月11日,東京都千代田区,東京家政学院高等学校,自分で考案,ターコ,男役,1985年,俳優夫は信元久隆
東 千晃,あずま ちあき,3月10日,東京都世田谷区,神戸松蔭学院,知人が命名,メッチ,娘役,1982年,俳優
和泉 万里,いずみ まり,3月30日,大阪府,梅花高等学校,,ヨッコ,娘役,1978年,
宇月 千佳,うづき ちか,2月27日,兵庫県芦屋市,武庫川学院,,トッコ,娘役,1979年,
瓜生 三七子,うりゅう みなこ,3月14日,兵庫県神戸市,神戸女子山手学園,家族で考案,ミナコ,男役,1974年,
江美 ひろき,えみ ひろき,9月18日,東京都渋谷区,立教女学院,,エミヤノちゃん,男役,1975年,
大内 しげる,おおうち しげる,9月29日,大阪府豊中市,梅花高等学校,昭憲皇太后御歌,れいこレンレン,男役,1975年,
丘 さゆり,おか さゆり,5月30日,宮城県気仙沼市,PL学園中学校,,トモちゃんトモコちゃん,娘役,1974年,
香 真由,かおり まゆ,5月30日,富山県高岡市,PL学園,尊敬する人が命名,クリさん,娘役,1974年,
克 まさる,かつ まさる,2月10日,東京都台東区,麹町学園,自分で考案,シマ,男役,1986年,改名後・克沙千世（かつ さちよ）インド舞踊家・榊原紫麻
火鳥 亜紀,かとり あき,8月10日,岐阜県岐阜市,加納高等学校音楽科,火の鳥のような激しさから,ルンルミ,娘役,1973年,
加奈 霞,かな かすみ,11月1日,大阪府富田林市,PL学園,尊師が命名,カナエ,娘役,1979年,日本舞踊・西川香澄
貴条 ともか,きじょう ともか,4月25日,東京都葛飾区,国府台女子学院,,チート,男役,1986年,
城月 美穂,きづき みほ,4月25日,東京都,大山高等学校,,アッコ,娘役,1981年,俳優
国 ちひろ,くに ちひろ,12月17日,静岡県引佐郡,気賀高等学校,尊師が命名,チッチィ,男役,1980年,
邦月 美岐,くにづき みき,2月17日,長崎県諌早市,神戸海星女子学院高等部,,ミキ,娘役,1980年,俳優
湖里 夏,こざと なつ,1月23日,石川県金沢市,大阪渋谷高等学校,好きな字を集める,,男役,1973年,
駒草 あゆみ,こまくさ あゆみ,7月21日,京都府京都市,同志社女子高等学校,駒草の花,ハルミ,娘役,1974年,
才 玉蓮,さい ぎょくれん,10月1日,兵庫県神戸市,生田中学校,,エイコエッちゃん,娘役,1974年,娘は仙堂花歩
里美 あきら,さとみ あきら,12月9日,大阪府大阪市,羽衣学園,自分で考案,モツ,男役,1987年,
紫賀 みどり,しが みどり,7月15日,神奈川県逗子市,横浜翠嵐高等学校,両親が考案,ミドリちゃん,娘役,1980年,
重 たくみ,しげ たくみ,4月10日,大阪府箕面市,池田高等学校,,ヤマ,男役,1973年,
紫乃 右行,しの うゆき,6月21日,東京都,大妻学院,,ウラ,男役,1976年,
島 ゆり,しま ゆり,1月17日,大阪府堺市,樟蔭高等学校,,ユーコ,娘役,1978年,
紫水 晶,しみず あきら,5月4日,神奈川県横浜市,宣真高等学校,宝石の名言葉で「誠実」を表す,ガイヘチョ,男役,1974年,
珠里 みさ,じゅり みさ,9月27日,兵庫県神戸市,羽衣学園高等学校,,ジュンちゃん,娘役,1973年,
条 はるき,じょう はるき,4月30日,東京都世田谷区,立教女学院,,ミヤイユリちゃん,男役,1985年,後に娘役に転向
寿美 夏子,すみ なつこ,8月28日,岐阜県岐阜市,加納高等学校,家族で考案,ミツヨ,男役,1987年,日本舞踊・藤間晃寿
世 れんか,せい れんか,1月30日,東京都大田区,調布学園,「一世一代の恋歌」より郷ちぐさが命名,ハム,男役,1980年,在団のまま逝去
千 かほる,せん かおる,2月16日,大阪府大阪市,大阪市立東中学校,,カツコカッコ,娘役,1972年,
曹 金玲,そう きんれい,1月18日,中国,台湾世界新聞専校,本名,チンリン,娘役,1970年,
貴 ひろき,たか ひろき,3月14日,兵庫県神戸市,神戸女学院,,,男役,1972年,
宝 純子,たから じゅんこ,12月7日,東京都文京区,竹早高等学校,,レモン,男役,1990年,
直 ほのか,なお ほのか,3月3日,広島県広島市,昭和女子大学附属高等学校,,ニイミちゃんチョク,娘役,1975年,
夏川 るみ,なつかわ るみ,7月2日,福岡県福岡市,筑紫女学園中学校,,,娘役,1970年,歌手の小柳ルミ子
菜津木 まさ,なつき まさ,7月13日,大阪府豊中市,梅花学園,尊師が命名,,男役,1973年,
名鶴 ひとみ,なづる ひとみ,5月26日,愛知県名古屋市,金城学院高等学校,姉の芸名,ひとみオックン,娘役,1972年,姉は名鶴加代名古屋市内で1982年にダンススタジオを開業
七海 水帆子,ななうみ みほこ,8月11日,広島県広島市,立正学園高等学校,,アイコアイちゃん,娘役,1976年,シャンソン歌手・疋田愛子
南城 みき,なんじょう みき,9月25日,神奈川県川崎市,カリタス学園,知人と考案,クーちゃん,男役,1973年,
畠 亜里紗,はた ありさ,8月30日,大阪府箕面市,被昇天学院,好きな名・亜里紗,ユバちゃん,娘役,1971年,俳優・歌手・占星術師の水原ゆう紀
華 かれん,はな かれん,3月5日,東京都,竹早高等学校,,ドルちゃんやよい,娘役,1973年,声優
英 里絵,はなぶさ りえ,7月22日,大阪府豊中市,神戸女学院,,アケミ,娘役,1976年,
春宮 えり,はるみや えり,4月10日,大阪府大阪市,相愛学園,,ツイシ,娘役,1974年,
萬 あきら,ばん あきら,12月21日,静岡県静岡市,親和女子学園,,ケイ,男役,2010年,定年退団
秀 なつき,ひで なつき,6月2日,大阪府池田市,渋谷高等学校,母と相談,ノンコ,男役,1974年,
藤 京子,ふじ きょうこ,7月26日,兵庫県芦屋市,仁川学院,本名と古都に因む,,娘役,2009年,
北條 ゆかり,ほうじょう ゆかり,9月29日,神奈川県横須賀市,横浜国立大学附属鎌倉中学校,家紋,ロコ,娘役,1974年,
