芸名,読み仮名,誕生日,出身地,出身校,芸名の由来,愛称,役柄,退団年,備考
暁 留美,あかつき るみ,2月2日,大阪府,PL学園,,リラちゃん,男役,1973年,
茜 真弓,あかね まゆみ,11月1日,東京都世田谷区,昭和女子大学附属中学校,恩師が命名,マサコ,娘役,1981年,
新 みき,あらた みき,3月23日,香川県高松市,明の星女子高等学校,,ブチ,男役,1972年,
亜蘭 美香,あらん みか,9月2日,大阪府吹田市,芦屋女子中学校,草笛美子が命名,ミッチみか,男役,1979年,
海 しらほ,うみ しらほ,7月25日,神奈川県横浜市,湘南白百合学園,郷ちぐさが命名,ジュンチ,男役,1977年,
梅里 ちえり,うめざと ちえり,12月17日,福岡県福岡市,杉並区立西宮中学校,東宝社長が命名,チエリ,娘役,1973年,
江真 千晶,えま ちあき,3月6日,大阪府豊中市,芦屋学園,,ウッコ,男役,1981年,宝塚歌劇団振付家・伊賀裕子
風 かおる,かぜ かおる,3月15日,熊本県上益城郡,神戸市立生田中学校,姉の芸名,ヒロコカゼ,男役,1978年,姉は風さやか後に娘役に転向
桂 美紀,かつら みき,4月22日,群馬県前橋市,PL学園,尊師が命名,ココ,娘役,1980年,日本舞踊・西川美紀
邦 なつき,くに なつき,8月14日,大阪府大阪市,大阪市立扇町高等学校,,まりプーちゃん,男役,2011年,後に娘役に転向日本舞踊・花柳萩真理
久美 まり,くみ まり,5月24日,東京都墨田区,両国中学校,姉の芸名,マリッペマリちゃん,娘役,1983年,姉は久美かおる
湖々 まりも,ここ まりも,7月26日,神奈川県横浜市中区,横浜女子中学校,,ヨシエまりも,娘役,1973年,
御所 まゆか,ごしょ まゆか,8月27日,兵庫県神戸市須磨区,武庫川学院,,リッコ,娘役,1972年,
五條 愛川,ごじょう あいせん,7月26日,兵庫県神戸市,愛徳学園,母が命名,エコ,男役,1982年,後に娘役に転向箏曲家・菊月美穂
寿 ひづる,ことぶき ひづる,3月17日,三重県津市,帝塚山学院,尊師が命名,イーちゃん,男役,1982年,改名後・寿ひずる（ことぶき ひずる）俳優息子は二代目坂東巳之助娘は守田菜生
早織 光世,さおり みつよ,12月20日,大阪府大阪市,大谷高等学校,尊師が命名,みつよ,男役,1980年,日本舞踊・西川菊世
純川 暁美,すみかわ あけみ,4月3日,福岡県,PL学園,尊師が命名,ジュンちゃん,娘役,1979年,日本舞踊・西川暁美
園 みはる,その みはる,1月3日,京都府京都市左京区,西山高等学校,,ホシ,男役,2011年,改名後・星原美沙緒（ほしはら みさお）
孝 まりお,たか まりお,11月8日,兵庫県神戸市生田区,園田学園,自分で考案,タヅ,男役,1983年,叔母は故里明美
高汐 巴,たかしお ともえ,12月2日,京都府京都市中京区,成蹊学園,父が命名,サンペイペイ,男役,1987年,俳優
高帆 里奈,たかほ りな,5月10日,埼玉県川口市,十文字学園高等学校,好きな字を並べる,タマちゃん,娘役,1976年,
千城 恵,ちしろ けい,7月11日,兵庫県姫路市,白鷺中学校,千代に栄える城,ケイちゃんチョイ,男役,1986年,日本舞踊・花柳芳恵俳優・演出家・加藤幸男夫人
千奈 ゆみの,ちな ゆみの,3月7日,東京都世田谷区,昭和女子大学附属高等学校,,エミちゃん,娘役,1973年,
千 尋栄,ちひろ さかえ,12月10日,東京都葛飾区,国府台女子学院,,キヨちゃん,男役,1974年,
千船 友歌,ちぶね ゆか,3月29日,兵庫県芦屋市,神戸山手学園,知人が命名,イノ,娘役,1979年,
波切 洋,なぎり よう,8月9日,兵庫県尼崎市,園田学園高等学校,大海原の荒波を乗り越えるように,へり,男役,1980年,
成美 有紀,なるみ ゆき,11月14日,大阪府大阪市,金蘭会高等学校,,,娘役,1983年,
野々 ひかり,のの ひかり,11月26日,兵庫県西宮市,甲陵中学校,野に光が射す様に,ノンコノノちゃん,娘役,1979年,
鳩笛 真希,はとぶえ まき,2月17日,大阪府池田市,梅花学園,,キャン,娘役,1987年,俳優日本舞踊・藤間嘉抄
花園 まり,はなぞの まり,2月28日,兵庫県神戸市東灘区,神戸山手女子学園高等部,本名,マコマリちゃん,娘役,1982年,改名後・花園麻里（はなぞの まり）
花 美香,はなみ かおり,10月18日,兵庫県尼崎市,梅花高等学校,,グミ,男役,1973年,
光香 王子,ひかり かおこ,2月16日,大阪府大阪市福島区,園田学園,,タミちゃん,男役,1977年,
白道 れい奈,びゃくどう れいな,7月23日,三重県伊勢市,高田学苑,家名,ポッケ,娘役,1985年,
藤波 ゆう,ふじなみ ゆう,2月11日,大阪府八尾市,樟蔭高等学校,,チイちゃん,男役,1979年,
牧奈 えりか,まきな えりか,5月17日,兵庫県神戸市東灘区,宝塚高等学校,,ヤスコ,娘役,1979年,
真汐 ちなみ,ましお ちなみ,9月30日,京都府京都市,宝塚第一中学校,,オッコ,男役,1988年,
真柴 真,ましば しん,8月30日,福岡県福岡市,京都女子高等学校,,マチマツ,男役,1973年,
松風 都巳,まつかぜ さとみ,12月14日,静岡県浜松市,西遠女子学園,父が命名,ヨッタン良兵衛,男役,1980年,
麻 里光,まり ひかる,12月11日,兵庫県神戸市長田区,宝塚中学校,本名,テマリ,男役,1985年,後に娘役に転向
美門 有輝,みかど ゆき,8月9日,山口県下松市,西南女学院高等学校,出身地・門司,ミエコゆえん,娘役,1974年,
路 のぼる,みち のぼる,2月13日,京都府京都市左京区,宝塚高等学校,,ウーちゃん,男役,1973年,
峰 さを理,みね さおり,7月15日,福井県敦賀市,敦賀高等学校,本名,ミネちゃんみね,男役,1987年,俳優・歌手日本舞踊家・西崎峰
實 亜紀,みのり あき,11月10日,東京都港区,常磐学園,,ミーボー,娘役,1972年,
八代 東奈,やしろ はるな,11月26日,大阪府吹田市,鳴尾高等学校,,トンコトモコ,男役,1977年,
夕鶴 まい,ゆうづる まい,9月7日,香川県高松市,実践女子学園,,ユウコちゃん,娘役,1978年,
優美 あい,ゆうび あい,3月7日,大阪府大阪市北区,武庫川高等学校,,チッちゃん,男役,1977年,
有季 れいな,ゆき れいな,8月29日,アメリカ合衆国ハワイ州,ホノルル・ルーズベルト高等学校,,マーガレット,男役,1978年,
裕 あゆむ,ゆたか あゆむ,4月18日,京都府舞鶴市,華頂学園,,ミワちゃん,男役,1987年,
