芸名,読み仮名,誕生日,出身地,出身校,芸名の由来,愛称,役柄,退団年,備考
御雲 ひで子,みくも ひでこ,,,,,,,1929年,改名後は水島百合子（みずしま ゆりこ）
深雪 鏡子,みゆき きょうこ,3月29日,,,,,,1936年,
早川 和子,はやかわ かずこ,,,,,,,1928年,在団中に死去姉は春日花子
明石 みさを,あかし みさを,,,,,,,1929年,
旭 光子,あさひ みつこ,,,,,,,1932年,
吾妻 千里,あづま ちさと,,,,,,,1931年,
葛城 のぼる,かつらぎ のぼる,,,,,,,1929年,改名後は葛城たつ子（かつらぎ たつこ）
香山 きみ子,かやま きみこ,9月25日,,,,,,1936年,
如月 早苗,きさらぎ さなえ,,,,,,,1926年,
雲間 月子,くもま つきこ,1月15日,,,,,娘役,1937年,
呉服 千恵子,くれは ちえこ,,,,,,,1931年,改名後は呉服千重子
小波 鷺子,さざなみ さぎこ,,,,,,,1926年,改名後は小波たへ子（さざなみ たえこ）
三條 絵美子,さんじょう えみこ,,,,,,,1932年,
東雲 とし子,しののめ としこ,,,,,,,1930年,
白濱 小浪,しらはま さなみ,,,,,,,1930年,娘は音羽滝子姉は音羽瀧子義兄は堀正旗
隅田 蓉子,すみだ ようこ,,,,,,,1930年,
象潟 浪子,ぞうかた なみこ,,,,,,,1930年,改名後は美野登代子（よしの とよこ）
高山 みね子,たかやま みねこ,,,,,,,1926年,
橘 薫,たちばな かおる,3月28日,北海道山越郡長万部町,,金健二が命名,エッチン,両役,1939年,シャンソン歌手
千草 真砂子,ちぐさ まさこ,,,,,,,1931年,
千鳥 露子,ちしま つゆこ,,,,,,,1926年,
渚 まゆみ,なぎさ まゆみ,,大分県別府市,,,,,1930年,
夏美 初子,なつみ はつこ,,,,,,,1932年,
葉山 輝子,はやま てるこ,,,,,,,1929年,
東千穂 豊子,ひがしちほ とよこ,,,,,,,1926年,
藤波 ゆかり,ふじなみ ゆかり,5月28日,,,,,,1935年,
美奈月 黎子,みなづき れいこ,,,,,,,1929年,
若草 すみ子,わかくさ すみこ,,,,,,,1931年,
若水 幸子,わかみず さちこ,4月25日,兵庫県神戸市,,,,,1935年,
曙 陽子,あけぼの ようこ,,,,,,,1930年,
繪波 ひとよ,えなみ ひとよ,,,,,,,1932年,
秋津 幸子,あきつ さちこ,,,,,,,1930年,
由良 うしほ,ゆら うしほ,,,,,,,1930年,
丘 みどり,おか みどり,3月30日,,,,,,1936年,
砂河水 無子,さがわ みなこ,,,,,,,1932年,改名後は佐川みな子
