芸名,読み仮名,誕生日,出身地,出身校,芸名の由来,愛称,役柄,退団年,備考
高篠 浪子,たかしの なみこ,1月18日,,,,,娘役,1939年,
川霧 妙子,かわぎり たえこ,9月19日,,,,,,1934年,
青柳 糸子,あおやぎ いとこ,,,,,,,1931年,改名後は青柳いとこ
明津 麗子,あきつ れいこ,2月1日,福井県福井市,,,友さん麗さん,娘役,1937年,
伊勢川 鈴子,いせかわ すずこ,1月28日,,,,ミッちゃん,娘役,1938年,
小百合 えみ子,さゆり えみこ,,,,,,,1927年,　
朱雀 葉子,すじゃく ようこ,,,,,,娘役,1932年,姉は稲葉とし子・山野松子
雛鶴 子,ひいな つるこ,,,,,,,1930年,在団中に逝去　
水町 のぶ子,みずまち のぶこ,11月7日,,,,,,1933年,姉は綱手渚娘は夏城淳・雪城まりか
山路 靜,やまじ しづか,10月4日,,,,,,1937年,改名後は山路靜香
大和 秀子,やまと ひでこ,,,,,,,1931年,
山野 松子,やまの まつこ,1月2日,,,,,,1936年,改名後は山野まつ子姉は稻葉とし子妹は朱雀葉子
緒島 なほ子,おじま なおこ,,,,,,,1932年,姉は八十島楫子・雲井浪子
通路 吹子,かよいじ ふきこ,1月9日,,,,,娘役,1935年,
京極 多哥子,きょうごく たかこ,12月6日,,,,,娘役,1935年,
小松 歌子,こまつ うたこ,5月8日,,,,,,1937年,
汐見 洋子,しおみ ようこ,10月30日,兵庫県芦屋市,,兵庫県武庫郡精道村にあった汐見櫻から命名,すけさんスケはん,男役,1943年,1937年 - 1939年星組組長1941年 - 1943年花組組長以前の芸名は汐見櫻子（しおみ おうこ）・汐見沖子（しおみ おきこ）・汐見なみ子（しおみ なみこ）
白河 関子,しらかわ せきこ,,,,,,,1927年,　
直木 眞弓,なおき まゆみ,12月14日,,,,,,1936年,改名後は直木真弓姉は網代木渡妹は愛鶴千足
羽衣 三保子,はごろも みほこ,,,,,,,1930年,改名後は羽衣美保子
春雨 絹子,はるさめ きぬこ,,,,,,,1930年,
百敷 忍,ももしき しのぶ,,,,,,,1932年,
豊登 美子,ゆたか とみこ,10月25日,,,,,,1932年,
夢野 みち子,ゆめの みちこ,,,,,,,1932年,
相生 みちる,あいおい みちる,,,,,,,1931年,
門野 まろや,かどの まろや,5月12日,愛知県名古屋市,,,小チャマサアチャン,男役,1939年,姉は門田芦子兄は宝塚歌劇団理事長・内山信愛
高千 穂峰子,たかちほ みねこ,7月16日,大阪府,,,,娘役,1935年,改名後は高千穂峯子
玉川 清子,たまがわ きよこ,10月25日,兵庫県宝塚市,,,,両方,1944年,バレエ教師妹は槇蓉子・霞千恵子娘は尚すみれ
難波江 かりね,なばえ かりね,,長野県松本市,,,,,1930年,
花井 かほる,はない かおる,,,,,,,1928年,
花月 達子,はなづき たつこ,10月25日,,,,,,1932年,
星江 ひかる,ほしえ ひかる,,,,,,,1932年,改名後は星江照子（ほしえ てるこ）
深山 華子,みやま はなこ,,,,,,,1932年,娘は駒草ゆり28改名後は深山はな子
室町 良子,むろまち よしこ,10月17日,京都府京都市,京都市立二條高等女学校,,オーツカさんツカハン,男役,1950年,1974年 - 1977年、宝塚歌劇団同窓会「宝友会」会長
山里 まさ子,やまざと まさこ,,,,,,,1932年,
夕月 明美,ゆうづき あけみ,,,,,,,1927年,
泉 百子,いずみ ももこ,10月19日,,,,,,1934年,
草笛 美子,くさぶえ よしこ,8月31日,鳥取県,大阪市立高等女学校,,くっちゃん,娘役,1940年,オペラ歌手
雲路 龍子,くもじ りゅうこ,,,,,,,1929年,
