芸名,読み仮名,誕生日,出身地,出身校,芸名の由来,愛称,役柄,退団年,備考
小鈴 妙子,こすず たえこ,,,,,,,1947年,
高田 和美,たかだ かずみ,4月3日,大阪府大阪市,相愛高等女学校,,カンちゃん,,1961年,
桃山 千歳,ももやま ちとせ,3月27日,京都府,京都精華高等女学校,,ケムちゃん,,1966年,
相良 智代,さがら ともよ,6月7日,熊本県人吉市,人吉高等女学校,,ジュンちゃん,娘役,1959年,改名後・筑紫まり（つくし まり）舞踊家・松原貞夫夫人
小乙女 すみれ,さおとめ すみれ,,,,,,,1947年,娘は小乙女幸
大津 裕美,おおつ ひろみ,3月3日,東京都,千葉県立松戸高等女学校,,ピーコ,,1958年,改名後・大津ひろみ（おおつ ひろみ）
鼓ケ浦 満子,こがうら みつこ,2月9日,大阪府,,宝塚舞踊劇「満潮」から姉が命名,ミミちゃんカンノンサマ,,1954年,
峯喜 美代,みね きみよ,,,,,,,1946年,改名後・峰貴美子（みね きみこ）
嵯峨 みやじ,さが みやじ,11月21日,兵庫県,明浄高等女学校,,ペンコ,,1954年,
古雅 典美,こが つねみ,10月13日,福井県越前市,碑衾女学院,,ノリちゃん,男役,1954年,外国車セールス業
梓 由美,あずさ ゆみ,,,,,,,1951年,
星宮 眞沙美,ほしみや まさみ,3月9日,千葉県千葉市,千葉県立高等女学校,,オハマちゃん,娘役,1957年,エッセイスト・玉井勝美夫人
三浦 梨花,みうら りか,7月22日,東京都,淑徳高等女学校,,テコ,,1958年,
菅梅 代,すが うめよ,1月29日,大阪府,,家紋に因む,テッちゃん,,1959年,
花町 ゆかり,はなまち ゆかり,,,,,,,1949年,
会津 緑,あいづ みどり,,大阪府,,,,,1947年,
櫻路 三千代,さくらじ みちよ,3月10日,東京都,堀越高等女学校,,モコちゃん,,1955年,
近江 京子,おおみ きょうこ,,,,,,,1947年,
若浦 朝生,わかうら あさお,12月13日,東京都,武蔵野高等女学校,古今和歌集,グンちゃん,,1954年,
雲路 たづぬ,くもじ たづぬ,12月22日,兵庫県三田市,三田高等女学校,いづかたの雲路ときかばたづぬべしつれはなれたる雁のゆくへを,ともさん,,1958年,夫は吉井裕海2017年9月14日逝去。
桂木 ゆたか,かつらぎ ゆたか,3月23日,東京都,愛国女子商業高等学校,,チャーコ,,1970年,1970年1月5日、在団中に逝去
新珠 三千代,あらたま みちよ,1月15日,奈良県奈良市,東京普連土女学校,夏目漱石「それから」より母と姉が命名,恭ちゃん,娘役,1955年,俳優。妹は椿千代（39期生）
柳 寿美,やなぎ すみ,11月14日,大阪府堺市,,,マスさん,,1951年,
美山 恵津,みやま えつ,11月15日,長崎県長崎市,大谷高等女学校,予科の校長が命名,おはら,,1986年,改名前・美山花子（みやま はなこ）、美山恵津子（みやま えつこ）
滋賀 雅美,しが まさみ,,,,,,,1949年,
水城 澄子,みずき すみこ,,,,,,,1950年,
櫻丘 美子,さくらおか よしこ,,熊本県,,,,,1948年,
深山 しのぶ,みやま しのぶ,3月31日,満州,大阪,深い山をしのぶように奥ゆかしい人になるように,チビちゃんペコ,,1990年,
山路 小百合,やまじ さゆり,2月25日,兵庫県神戸市,,,マジ,,1957年,沢村宗之助夫人
美野 真砂子,よしの まさこ,,,,,,,1947年,
恵 ゆたか,めぐみ ゆたか,1月8日,東京都,,,マヒ,,1991年,改名後・恵さかえ（めぐみ さかえ）
川霧 妙子,かわぎり たえこ,,東京都,,,,,1949年,改名後・大海千代（おおみ ちよ）
常盤 みどり,ときわ みどり,1月23日,東京都,鎌倉市立高等女学校,,デコ,,1946年,
