芸名,読み仮名,誕生日,出身地,出身校,芸名の由来,愛称,役柄,退団年,備考
愛 みに子,あい みにこ,9月11日,東京都,東京女学館,,イナちゃんイナゴ,,1965年,
愛里 ゆり,あいざと ゆり,4月18日,神奈川県横浜市,成美学園,野村胡堂が命名,ヒロエちゃん,,1966年,
麻月毬生 	　,あさづき まりお,7月20日,京都府宮津市,京都府立宮津高等学校,,ブチ,男役,1994年,改名後・麻月鞠緒（あさづき まりお）妹は椿友里在団中に死去
朝海 しずか,あさみ しずか,7月9日,大阪府大阪市,大阪女子学園高等学校,,チーちゃんチサト,,1965年,
綾三 千子,あや みちこ,1月23日,東京都,学習院女子,,ヤスコ,,1963年,
有 里馨,ありさと かおる,7月13日,兵庫県神戸市,神戸山手女子高等学校,祖父母の名前,アリちゃん,,1967年,
杏城 由花,あんじょう ゆか,5月12日,東京都,学習院女子,尊師が命名,キョーコ,,1966年,
浦島 千歳世,うらしま ちとせ,1月2日,香川県丸亀市,高松明善高等学校,,リンリンカズコさん,,1970年,改名後・希ゆかり（のぞみ ゆかり）
大月 英湖,おおつき えいこ,2月24日,兵庫県宝塚市,宝塚中学校,,エーちゃん,,1967年,
小川 エリイサ,おがわ えりいさ,11月1日,アルゼンチン共和国ブエノスアイレス,"Colegio Incorporaco, Angel D'elias",,チチ,,1963年,スペイン留学生
薫 邦子,かおる くにこ,7月30日,大阪府守口市,聖母女学院,恩師が命名,アキちゃん,男役,1972年,
輝 みちる,かがやき みちる,8月23日,兵庫県川西市,川西中学校,尊師が命名,オクちゃん,,1969年,姉は小松千恵
風花 舞子,かざはな まいこ,,,,,,,1962年,入団後に退団
風 さやか,かぜ さやか,7月16日,熊本県上益城郡,神戸市立生田中学校,川内康範が命名,藤ちゃんトンコ,男役,1969年,妹は風かおる
川路 真沙,かわじ まさ,5月30日,東京都,立教女学院,,ターちゃんエマ,男役,1971年,改名後・川路真瑳（かわじ まさ）
公卿 奈美,くごう なみ,5月12日,神奈川県横須賀市,鎌倉女学院高等学校,出生地に因み家族で考案,チグ,男役,1965年,
孔雀 虹子,くじゃく にじこ,8月29日,和歌山県和歌山市,夕陽ヶ丘中学校,,アコ,,1969年,改名後・大門照美（おおかど てるみ）
楠 かおり,くすのき かおり,2月8日,長野県松本市,芦屋女学校,尊師が命名,ノブチン,男役,1971年,
小出 利恵,こいず りえ,11月6日,兵庫県尼崎市,甲子園学院,父が命名,オトミちゃん,,1965年,
紺早 千子,こん さちこ,11月3日,神奈川県鎌倉市,フェリス女学院,,じゃっきぃジャキエさん,,1966年,シャンソン歌手・堀内美紀
咲花 やよひ,さくはな やよい,8月23日,長野県松本市,松商学園,恩師が命名,ノロちゃん,,1970年,
笹波 里花,さざなみ りか,3月26日,岡山県玉島市,武庫川高等女学院,家族で考案,オタカユキちゃん,,1973年,
志野 さくも,しの さくも,5月18日,京都府京都市,弥栄中学校,志野の雅趣と五月の若々しさに因む,おけいちゃん,,1967年,
東海林 みはる,しょうじ みはる,4月27日,兵庫県神戸市,神戸市立西代中学校,本名,トウカイ,,1965年,
白河 千里,しらかわ ちさと,2月13日,東京都,東京家政学院高等部,父が命名,ミヤちゃんオミヤ,,1963年,
白 妙耀子,しらたえ ようこ,6月14日,大阪府大阪市,聖母女学院高等科,,アズミちゃんヨウコさん,,1968年,
城 克巳,しろ かつみ,10月4日,東京都,埼玉県立熊谷女子高等学校,本名,モッちゃん,,1967年,
銀 あけみ,しろがね あけみ,4月30日,神奈川県鎌倉市,山脇学園,尊師が命名,イムコヨーコちゃん,娘役,1993年,日本舞踊・藤間勘緒美在団中に死去
清 はるみ,すが はるみ,1月28日,神奈川県横浜市,成美学園,宝塚歌劇団理事長・梅田健一が命名,イワッちゃん,,1970年,宝塚歌劇団奏者・星野彰夫夫人
千 夏記,せん なつき,11月5日,東京都,二階堂高等学校,,オフジ,,1967年,俳優・細川俊之夫人ダンサー・藤本典江
千 寿毬子,せんじゅ まりこ,8月12日,福岡県若松市,梅花学園,家族で考案,テッちゃん,,1969年,
辰巳 千鶴子,たつみ ちづこ,1月10日,東京都,武蔵野高等学校,辰巳柳太郎が命名,チーコ,,1968年,
珠丘 美登利,たまおか みどり,3月23日,大阪府守口市,帝国女子学園,若宮淡紅子が命名,アケミ,,1968年,
環木 織,たまき しおり,4月18日,東京都,玉川学園高等部,,バセちゃんハッコ,,1965年,改名後・環木しおり（たまき しおり）
千明 沙代,ちあき さよ,2月7日,中華人民共和国上海市,広島市立国泰寺中学校,,ダッコちゃん,,1965年,
チ ェシイ・スカラパンナ,ちぇしい すからぱんな,4月20日,タイ王国バンコク,パハルタイ高等学校,,サブリナ,,1962年,タイ王国留学生
千沢 絵美,ちざわ えみ,4月9日,大阪府大阪市,金蘭会学園,白井鐵造が命名,オチエ,,1969年,
千波 薫,ちなみ かおる,1月3日,東京都,立正学園,姉の芸名に関連させる,マコちゃん,,1965年,姉は千波淳・千波静娘は千波ゆう甥は松岡修造
千谷 美景,ちや みかげ,2月24日,東京都,梅花学園,,オシラ,,1976年,改名後・千草美景（ちぐさ みかげ）母は有川恒子伯母は松野友子叔母は花藻ゆかり
千代田 澄世,ちよだ すみよ,2月12日,東京都,女子聖学院,,オヨッチ,,1966年,改名後・千代田佳子（ちよだ よしこ）
翼 まり,つばさ まり,1月11日,兵庫県西宮市,松蔭女子学院高等部,大空を駆け巡る小鳥のように,ノリちゃんのりへい,,1969年,
津留 のえみ,つる のえみ,4月26日,ベルギー王国ブリュッセル,ブリュッセル・リッセイ校,,イブちゃん,,1964年,改名後・鶴文子（つる あやこ）
渚 あゆ美,なぎさ あゆみ,2月12日,大阪府大阪市,芦屋女子学園,,キクちゃんガアコ,,1967年,
夏木 淳,なつき じゅん,3月2日,大阪府大阪市,神戸山手学園,,ミッちゃん,,1966年,
奈々 敦美,なな あつみ,8月4日,京都府京都市,同志社女子高等学校,日本舞踊の名取名,アッちゃん,,1964年,
南原 美佐保,なんばら みさお,8月17日,埼玉県さいたま市,浦和西高等学校,尊師が命名,ケコピーちゃん,,1971年,
二條 幸美,にじょう さちみ,3月6日,兵庫県宝塚市,尼崎市立明倫中学校,素直に美しく幸せであれ,サチミ,,1968年,
野路 わたる,のじ わたる,10月15日,東京都小金井市,大妻女子学院,尊師が命名,カズミちゃんムラちゃん,,1967年,
初瀬 百々代,はつせ ももよ,5月22日,東京都練馬区,富士見高等学校,,スミちゃんオシノ,,1965年,改名後・高毬子（たか まりこ）俳優・高月毬子姉は篠宮朝美夫は映画監督・中島芳人
初海 由佳,はつみ ゆか,1月9日,神奈川県大磯町,湘南白百合学園,,デコ,,1969年,
浜路 ゆみ,はまじ ゆみ,7月21日,神奈川県横浜市,成美学園,家族で考案,ユミコちゃんキッキー,,1964年,
飛川 あゆ美,ひかわ あゆみ,2月9日,岐阜県岐阜市,岐阜県立加納高等学校,渡辺武雄が命名,エコエコちゃん,,1964年,
富士 ます美,ふじ ますみ,9月15日,京都府京都市,京都女子学園,花柳幾久英が命名,レイコゲラコ,,1970年,溝口泰男夫人
藤波 かほる,ふじなみ かおる,3月21日,東京都,成徳学園,家族で考案,オネエちゃん,,1969年,
文月 てるみ,ふづき てるみ,7月12日,兵庫県西宮市,愛知県守山中学校,家族で考案,ホーコちゃん,,1969年,
舞 千鶴,まい ちづる,7月23日,京都府,京都府立東舞鶴高等学校,出身地に因む,まっちゃん,娘役,2001年,日本舞踊・花柳禄松重
