芸名,読み仮名,誕生日,出身地,出身校,芸名の由来,愛称,役柄,退団年,備考
安岐 みずほ,あき みずほ,7月24日,広島県広島市,舟入高等学校,尊師が命名,たまこ,娘役,1997年,　
彰 かずき,あきら かずき,7月1日,東京都中野区,東京都立西高等学校,家族で考案,おーたちゃんかずき,男役,1997年,　
麻園 みき,あさぞの みき,5月23日,東京都町田市,町田市立南成瀬中学校,,みきこみっこみっくん,男役,2004年,
朝空 理帆,あさぞら りほ,12月31日,兵庫県宝塚市,兵庫県立宝塚北高等学校,家族で考案,ゆうこりほ,娘役,1996年,　
朝海 ひかる,あさみ ひかる,1月24日,宮城県仙台市,宮城県第三女子高等学校,家族で考案,こむ,男役,2006年,　
朝宮 真由,あさみや まゆ,9月25日,兵庫県西宮市,小林聖心女子学院高等学校,家族で考案,トオル/まゆことーる,男役,2002年,
天宮 萌,あまみや もえ,1月18日,兵庫県宝塚市,雲雀丘学園中学校,家族で考案,らんちゃん/らんの,娘役,1996年,　
安蘭 けい,あらん けい,10月9日,滋賀県甲賀郡,甲西高等学校,家族で考案,とうこ/あらん,男役,2009年,　
有 沙美帆,ありさ みほ,10月8日,兵庫県芦屋市,私立百合学院高等学校,家族で考案,マコ,娘役,2006年,　
香宝 ゆりか,かほう ゆりか,6月20日,神奈川県横浜市戸塚区,神奈川県立舞岡高等学校,家族で考案,かおり,娘役,1995年,
北嶋 麻実,きたじま まみ,4月10日,神奈川県横浜市,成美学園高等学校,家族で考案,まちおマッチ,男役,2008年,
桜木 絵美,さくらぎ えみ,6月10日,大阪府大阪市東住吉区,淀之水高等学校,家族で考案,じゅんたん/じゅんこ,娘役,1998年,　
汐美 真帆,しおみ まほ,10月20日,兵庫県宝塚市,小林聖心女子学院,父が考案,ケロようこお父さん,男役,2004年,
城華 阿月,じょうか あづき,9月24日,大阪府大阪市此花区,追手門学院大手前高等学校,出身校が大阪城の前だったので,あづき,娘役,2002年,
白鳥 ゆりえ,しらとり ゆりえ,6月24日,東京都中野区,藤村女子高等学校,家族で考案,ゆりえ,娘役,1998年,　
鈴懸 三由岐,すずかけ みゆき,5月29日,大阪府豊中市,聖母被昇天学院高等学校,鈴懸の木より尊敬する人が命名,としこすっちゃん,娘役,2007年,
昴 一輝,すばる かずき,5月29日,京都府大山崎町,薫英学園,家族で考案,しほりんしほ/すばる,男役,1996年,　
聖矢 優,せいや ゆう,10月18日,兵庫県芦屋市,兵庫県立芦屋高等学校,自分で考案,ウル,男役,1993年,　
高央 りお,たかお りお,1月20日,東京都東村山市,東京都立小平高等学校,家族で考案,エンディーけいこ,男役,2006年,　
都々城 あい,つづしろ あい,2月13日,東京都世田谷区,聖ドミニコ学園高等学校,尊師と家族で考案,ゆきちゃん,娘役,1997年,
都布良 ひとみ,つぶら ひとみ,11月10日,大阪府豊中市,夙川学院高等学校,本名より,つぶらつぶ,娘役,1996年,
七瀬 快,ななせ かい,4月2日,神奈川県横浜市保土ケ谷区,神奈川県立横浜平沼高等学校,家族で考案,のりかい,男役,1996年,　
成瀬 こうき,なるせ こうき,4月4日,東京都目黒区,東洋英和女学院高等部,家族で考案,こうき/なるちゃんおっちょん,男役,2002年,　
野乃 みるて,のの みるて,8月13日,長野県長野市,県立長野西高等学校,ゲーテの詩から,みるて,娘役,1993年,　
花總 まり,はなふさ まり,2月28日,東京都豊島区,日本女子大学附属高等学校,家族で考案,ハナおハナだいちゃん/まり,娘役,2006年,
原 美笛,はら みてき,3月18日,神奈川県横浜市,神奈川県立城郷高等学校,知人が命名,えみちゃんえーちゃん,娘役,2001年,
春野 寿美礼,はるの すみれ,12月15日,東京都狛江市,国本女子高等学校,知人が命名,おさ,男役,2007年,
日比谷 恵,ひびや めぐみ,12月14日,東京都杉並区,品川高等学校,尊敬する人が命名,えみエミリー/ドラゴン,男役,1998年,
双葉 美樹,ふたば みき,1月23日,東京都墨田区,福岡雙葉学園高等学校,祖父・双葉山に因んで,さぁちゃん,娘役,2001年,
穂波 亜莉亜,ほなみ ありあ,7月22日,埼玉県飯能市,埼玉県立豊岡高等学校,皆で考案,アリアえっちゃん,娘役,2004年,　
舞音 梓,まいね あずさ,3月31日,神奈川県横浜市港北区,橘学苑高等学校,家族で考案,ゴマ,男役,1996年,　
真樹 めぐみ,まき めぐみ,12月24日,東京都杉並区,恵泉女学園高等学校,尊師が選定,めぐめぐみ,娘役,1996年,　
真丘 奈央,まさおか なお,6月11日,東京都世田谷区,国立音楽大学附属高等学校,父・母・姉の名より/家族で考案,はっぱちゃん,男役,2004年,　
ま ほろば遊,まほろば ゆう,3月4日,東京都世田谷区,東京都立桜町高等学校,野田秀樹が命名,あきちゃん遊さんマホロン,男役,1997年,　
三杉 千佳,みすぎ ちか,4月19日,大阪府大阪市阿倍野区,大阪府立今宮高等学校,本名より祖父が命名,あかちゃん,娘役,1999年,
水島 あおい,みずしま あおい,5月22日,東京都立川市,日体桜華女子高等学校,知人が命名,もとこ/もんももっちゃん,娘役,2000年,
南 しずか,みなみ しずか,8月31日,東京都世田谷区,洗足学園大学附属第一高等学校,尊敬する人に相談して,るい,娘役,1996年,　
悠 なお輝,ゆう なおき,2月28日,兵庫県川西市,梅花高等学校,尊敬する人が選定,ゆき/なお輝なお,男役,2006年,妹は毬乃ゆい
優花 えり,ゆうか えり,10月15日,東京都目黒区,香蘭女子高等学校,家族で考案,まり/えり,娘役,2002年,　
雪 わかな,ゆき わかな,4月11日,大阪府堺市,精華女子高等学校,,わかな,娘役,1995年,
