芸名,読み仮名,誕生日,出身地,出身校,芸名の由来,愛称,役柄,退団年,備考
秋津 香織,あきつ かおり,2月14日,大阪府,三島野高等学校,香村菊雄が命名,クッシャカ,,1957年,
朝宮 千草,あさみや ちぐさ,8月7日,東京都,明星学園,大木惇夫が命名,チーちゃん,,1960年,
飛鳥井 かほり,あすかい かおり,8月13日,京都府,嵯峨野高等学校,,シャンシャン,,1959年,
天神 潤子,あまがみ じゅんこ,8月1日,大阪府大阪市,四天王寺学園,父が命名,トンさん,,1956年,
天津川 龍子,あまつがわ りゅうこ,3月3日,岐阜県土岐市,土岐高等学校,母が命名,イセちゃん,,1959年,
鮎川 三知代,あゆかわ みちよ,1月2日,岐阜県,明郷中学校,長良川の鮎に因む,ミミちゃん,,1967年,姉は鮎川三鶴（双子）妹は弓月桂
鮎川 三鶴,あゆかわ みつる,1月2日,岐阜県,明郷中学校,長良川の鮎に因む,クーちゃん,,1968年,妹は鮎川三知代（双子）・弓月桂
生島 千代,いくしま ちよ,6月9日,兵庫県相生市,相生高等学校,播州赤穂の好きな島名に因む,タグチン,,1957年,
池乃 みぎわ,いけの みぎわ,1月9日,東京都,立教女学院,謡曲「鶴亀」,エチコ,,1954年,
磯 みさき,いそ みさき,2月1日,兵庫県神戸市,親和学園,出生地に因む,スーちゃん,,1960年,
内重 のぼる,うちのえ のぼる,6月30日,兵庫県西宮市,武庫川学院,万葉集,サッちゃん,男役,1967年,
浦路 洋子,うらじ ようこ,1月28日,和歌山県和歌山市,星林高等学校,,,,1956年,
江里 嫩,えり ふたば,5月25日,東京都,雙葉学園,出身校から先生が命名,ロコ,,1963年,
扇 千景,おうぎ ちかげ,5月10日,兵庫県神戸市,神戸高等学校,扇港に因む,カン子,娘役,1957年,
大河内 孝子,おおこうち たかこ,7月2日,京都府,京都女学校,ターちゃん,,,1958年,
大空 美鳥,おおぞら みどり,7月4日,兵庫県西宮市,園田学園,「大空を飛ぶ鳥のように美しく舞えるように」と父が考案,シゲコ,,1976年,
香月 弘美,かづき ひろみ,8月21日,神奈川県藤沢市,湘南白百合学園,「名月のように香ばしく芸の美を広く舞台に輝かせたいとの希望を持って」と尊師が命名,ヒロエちゃん,娘役,1958年,公演中の舞台事故で殉職
桂 梨絵子,かつら りえこ,11月24日,京都府,鴨沂高等学校,,桂ちゃん,,1960年,
錦城 千世子,きんじょう ちせこ,12月8日,兵庫県明石市,明石高等学校,明石に因む,カーコ,,1960年,
