芸名,読み仮名,誕生日,出身地,出身校,芸名の由来,愛称,役柄,退団年,備考
藍葉 子,あい ようこ,10月3日,東京都,実践女子学園,,ヨーコ,,1962年,作家・野坂昭如夫人娘は花景美妃・愛耀子
赤城 由美,あかぎ ゆみ,10月21日,東京都,実践女子学園高等女学校,赤城山に因む,ノコちゃん,,1960年,
茜 美樹,あかね みき,3月27日,東京都,桜蔭学園高等部,本名,アカネちゃん,,1963年,
明 左弓,あきら さゆみ,11月13日,東京都,森村学園,白井鐵造が命名,ニーコ,,1966年,妹は明ゆう子
朝影 由花,あさかげ ゆか,6月22日,東京都,武蔵野女子学院,,ノコミヤケちゃん,,1965年,改名後・北原真紀（きたはら まき）娘は北原里麻
朝路 ひかる,あさじ ひかる,4月29日,兵庫県神戸市,横須賀市緑ヶ丘学院,内海重典が命名,オシバ,,1967年,
東 いさみ,あずま いさみ,5月14日,東京都,成城学園,東生まれに因む,ボクちゃん,,1963年,姉は花吹美東里
伊奈 ちぐみ,いな ちぐみ,6月21日,大阪府,梅花学園,,オミヤ,,1962年,
丘 千明,おか ちあき,2月18日,兵庫県尼崎市,神戸親和学園,本名,チヨちゃん,,1980年,
橿原 さより,かしはら さより,10月22日,大阪府大阪市,四天王寺学園,郷里に因む,ケイコ,,1966年,
加茂 みどり,かも みどり,8月19日,東京都,京都精華高等女学校,姉の芸名を名前だけ変える,シゲちゃん,,1968年,改名後・加茂すみれ（かも すみれ）姉は加茂さくら
岸 香織,きし かおり,4月6日,大阪府大阪市,大谷高等学校,本名,キッシャンキシモトさん,男役,1999年,後に両役を手掛ける
君塚 えみ,きみづか えみ,10月29日,東京都,森村学園,出身地に因む,エミちゃん,,1963年,
桐紫 珠子,きり しずこ,12月7日,大阪府豊中市,梅花学園,家族で考案,芋ちゃん,,1965年,
九重 薫,ここのえ かおる,4月19日,東京都,同志社女子高等学校,和歌,ハムコ,,1961年,
琴浦 一恵,ことうら かずえ,6月27日,香川県琴平町,琴平中学校,出身地に因む,赤ちゃん,,1965年,
小松 千恵,こまつ ちえ,1月1日,大阪府豊中市,金蘭会高等学校,,オクチンチエちゃん,,1962年,妹は輝みちる在団中に逝去
嵯峨三 千代,さが みちよ,3月16日,大阪府,学習院,,サッちゃん,,1961年,
笹 潤子,ささ じゅんこ,10月13日,大阪府,天王寺高等学校,水代玉藻が命名,オスギ,,1974年,
幸 なほみ,さち なおみ,2月17日,京都府京都市,精華女子高等学校,幸せであるように,ヨリチン,,1963年,
里園 ゆかり,さとぞの ゆかり,12月6日,東京都,恵泉女学院高等学校,本名,ユリコ,,1971年,
三城 千佳,さんじょう ちか,3月27日,愛知県名古屋市,南山女子高等学校,名古屋城に因む,オトミトンちゃん,,1964年,
城火呂 絵,じょう ひろえ,3月30日,鳥取県米子市,米子西高等学校,岡本喜八が命名,はんちゃん,娘役,2005年,日本舞踊・西川絆同・藤間藤左
白峰 万里子,しらみね まりこ,12月22日,香川県坂出市,丸亀市藤井学園,土地の山と神社の名に因む,クロちゃんヤマちゃん,,1966年,
末 広栄,すえひろ さかえ,6月6日,大阪府,春日丘高等学校,,エミーエミちゃん,,1963年,
高城 珠里,たかしろ じゅり,2月3日,東京都,東京学芸大学附属高等学校,尊師が命名,エッちゃん,男役,1967年,
滝 みつる,たき みつる,12月12日,東京都,女子立正高等学校学園,,竹さん,,1965年,
竹川 由起,たけがわ ゆき,7月4日,京都府京都市,同志社女子高等学校,,タカちゃん,,1967年,
橘 香久子,たちばな かくこ,1月24日,大阪府,箕面自由学園高等部,万葉集,カッコちゃん,,1967年,娘は橘梨矢
田月 小百合,たづき さゆり,6月10日,兵庫県神戸市,親和学園,,チーコ,,1962年,
谷 こだま,たに こだま,7月28日,兵庫県神戸市,海星女学院,初代・尾上さくらが命名,レイコちゃん,,1963年,
月乃江 まどか,つきのえ まどか,11月22日,大阪府大阪市,松蔭女学院,,ノマチン,,1965年,
十保里 すみれ,とおり すみれ,12月28日,兵庫県西宮市,神戸山手学園,,オコ,,1963年,
望 千晴,のぞみ ちはる,11月8日,台湾,大阪茨木高等学校,,オハル,,1962年,
花影 さゆり,はなかげ さゆり,4月3日,大阪府大阪市,高津高等学校,,マッちゃん,,1962年,
原 千雪,はら ちゆき,3月10日,兵庫県神戸市,小林聖心女子学園,父の名を捩って命名,リミちゃん,,1961年,
広丘 路生,ひろおか みちお,1月6日,東京都,調布女学園,希望を持ってこの路を進むように,キム,,1961年,
星 美沙,ほし みさ,10月25日,満州,甲子園学院,高橋廉が命名,あきちゃんあつ子,,1967年,姉は星寿美娘は都布良ひとみ宝塚歌劇団作曲家・中元清純夫人
穂波 しのぶ,ほなみ しのぶ,1月1日,福岡県福岡市,福岡女学院,家の店名から取る,フッちゃん,,1962年,
真澄 典子,ますみ のりこ,9月21日,大阪府大阪市,大阪女学院高等学校,,ナガちゃんがちゃこ,,1972年,
窓 ゆみ代,まど ふみよ,7月24日,大阪府大阪市,東大谷中学校,勅題に因み、渡辺武雄が命名,,,1966年,妹は天乃川美鈴ホテル阪急インターナショナル内「吉兆」アシスタントマネージャー
真辺 美里,まなべ みさと,4月26日,兵庫県神戸市,神戸山手学園,父の知人が命名,モコ,,1965年,
万城 ゆかり,まんじょう ゆかり,8月4日,神奈川県,鶴見女子学園,尊敬する人の名前,シーちゃんカリコ,,1964年,
美果 あゆみ,みか あゆみ,3月11日,大阪府大阪市,梅花学園,母が命名,カズミ,,1960年,
水島 みのる,みずしま みのる,2月5日,東京都,恵泉女学園,何でも水が無ければ実らない,ケイコ,,1974年,
峯 千景,みね ちかげ,2月8日,石川県金沢市,北陸学院高等部,出身地・白山に因む,アコ,,1964年,
宮 悠喜子,みや ゆきこ,4月1日,大阪府大阪市,,戸板康二が命名,ヨッさんテルちゃん,,1965年,
百 重都,ももえ みやこ,2月23日,兵庫県神戸市,西宮高等学校,万葉集,ヤットン,,1963年,妹は椰子夏実
八雲 楊子,やぐも ようこ,10月2日,鳥取県倉吉市,倉吉西高等学校,神代錦が命名,ルミモンちゃん,,1962年,
八坂 朱美,やさか あけみ,10月24日,大阪府大阪市,神戸新和学園,知人が命名,いっそんヨッちゃん,,1968年,
八汐路 まり,やしおじ まり,3月10日,和歌山県,妙寺中学校,,ベンちゃん,娘役,1970年,
弥生 一美,やよい かずみ,3月3日,京都府京都市,桃山中学校,誕生日に因む,カーコ,,1960年,
夕凪 千月,ゆうなぎ ちづき,8月15日,東京都,京華学園,尊師が命名,マッチンオネエちゃん,,1963年,
雪 七子,ゆき ななこ,2月19日,兵庫県神戸市,海星女子学院,,,,1962年,
豊 るり子,ゆたか るりこ,11月10日,愛知県豊橋市,豊橋東高等学校,出身地に因む,ノンコ,,1969年,改名後・豊みのる（ゆたか みのる）
夢 まり花,ゆめ まりか,7月26日,大阪府大阪市,樟蔭高等学校,母が命名,ポッポ,,1962年,
若月 寿々代,わかつき すずよ,7月7日,愛知県名古屋市,椙山女学校中等部,尊師が命名,ツタちゃん,,1961年,改名後・若月寿々（わかつき すず）娘は鈴懸三由岐
