芸名,読み仮名,誕生日,出身地,出身校,芸名の由来,愛称,役柄,退団年,備考
秋野 たま子,あきの たまこ,1月15日,大阪府大阪市中央区,,百人一首,,,1933年,姪は二代目・秋野たま子
泉 蘭子,いずみ らんこ,7月25日,宮城県仙台市,東京家政女学校,百人一首,,娘役,1921年,女優・澤蘭子
奥山 秋子,おくやま あきこ,,大阪府池田市,,百人一首,,,1923年,
尾上 咲子,おのえ さきこ,,東京都千代田区,,百人一首,,,1923年,
桂 よし子,かつら よしこ,3月7日,京都府京都市,,百人一首,ささきオカツさん,男役,1938年,
門田 芦子,かどた あしこ,5月15日,愛知県名古屋市,金城女学校,百人一首,チャマさん,男役,1938年,断髪男役第1号妹は門野まろや宝塚歌劇団・音楽学校寄宿舎舎監兄は宝塚歌劇団理事長・内山信愛
巽 寿美子,たつみ すみこ,9月10日,兵庫県神戸市須磨区,,百人一首,ミハラ,男役,1926年に一度退団後、復帰後、1935年,
奈良 美也子,なら みやこ,1月1日,石川県金沢市,天王寺第一尋常小学校,百人一首,ワァさんわーちゃん,男役,1939年,宝塚歌劇団日本舞踊指導・花柳禄也
春野 若子,はるの わかこ,,大阪府堺市,,百人一首,,男役,1926年,
松山 浪子,まつやま なみこ,,新潟県,,百人一首,,,1920年,
山川 もみぢ,やまかわ もみぢ,,岡山県岡山市北区,,百人一首,,,1923年,
淡島 千鳥,あわしま ちどり,,兵庫県伊丹市,,百人一首,,,1928年,
松山 律子,まつやま りつこ,,大阪府大阪市中央区,,百人一首,,,1923年,
高篠 濱子,たかしの はまこ,,奈良県磯城郡田原本町,,百人一首,,,1925年,
美山 小夜子,みやま さよこ,,,,百人一首,,,1923年,
小野 信夫,おの しのぶ,7月29日,兵庫県三田市,,百人一首,,男役,1933年,
小山 幸子,こやま さちこ,,岡山県岡山市北区,湊山尋常・高等小学校,百人一首,,,1925年,
