芸名,読み仮名,誕生日,出身地,出身校,芸名の由来,愛称,役柄,退団年,備考
嵯野 久子,さの ひさこ,6月13日,兵庫県神戸市,大阪市立高等西華女学校,,オオタニ,,1943年,
美空 暁子,みそら あきこ,10月5日,広島県広島市,横浜第一高等女学校,自分で考案,ナンちゃん,男役,1941年,俳優・南美江
星 歌女,ほし うため,2月12日,愛媛県,,,,,1938年,
月草 衣子,つきくさ きぬこ,7月20日,長崎県長崎市,神戸市山手尋常小学校,知人が命名,巨人軍,男役,1940年,
栄 一代,さかえ かずよ,9月18日,大阪府,,,,,1940年,夫は横尾泥海男
野花 千世子,のばな ちよこ,1月3日,大阪府,宣眞高等女学校,,ウメウメやん,男役,1948年,改名後・野花千代（のばな・ちよ）宣伝関連業
若江 つぼみ,わかえ つぼみ,1月28日,東京都,,,,,1938年,
八千草 露子,やちぐさ つゆこ,4月20日,大阪府豊中市,金蘭會高等女学校,,チャツン,男役,1941年,妹は笹舟陽子・緋桜陽子
初霜 菊子,はつしも きくこ,10月27日,兵庫県,神戸市森高等女学校,,カッツン,男役,1940年,夫は岸井明
三代 あずさ,みよ あずさ,8月31日,熊本県熊本市,熊本県立第一高等女学校,自分で考案,キヨタン,男役,1941年,
園 みどり,その みどり,10月11日,兵庫県神戸市,大阪府立市岡高等女学校,引田一郎が命名,ショウハチ,男役,1941年,以前の芸名は園御幸・園みゆき（その・みゆき）妹は若園輝代
潮 しぶき,うしお しぶき,9月1日,東京都,東京府立第六高等女學校,自分で考案,チハルちゃん,男役,1939年,妹は眞澄はるか
園生 千草,そのお ちぐさ,7月23日,長野県長野市,,,,男役,1942年,
都路 勢喜子,みやこじ せきこ,10月12日,大阪府,堺市立高等女学校,,コバマ,,1939年,
京 美鶴,みやこ みつる,9月9日,京都府,,,,娘役,1939年,
御室 雪子,おむろ ゆきこ,5月12日,京都府,,,,,1938年,
駒鳥 久江,こまどり ひさえ,12月22日,東京都新宿区,,,,,1945年,
菊野 ひさし,きくの ひさし,3月21日,兵庫県,,,,,1940年,
月宮 みつる,つきみや みつる,3月5日,広島県,,,,,1943年,改名後・月路みつる（つきじ みつる）
雁音 路子,かりがね みちこ,8月15日,大阪府大阪市,大阪市九條第五尋常小学校,実兄が命名,サッさんサトさん,,1939年,
玉松 いさを,たままつ いさお,8月27日,兵庫県神戸市,,,,両方,1939年,
夕凪 志保子,ゆうなぎ しほこ,1月12日,東京都,,,,,1938年,改名後・真澄はるか（ますみ はるか）
椿 千寿子,つばき ちづこ,12月5日,兵庫県神戸市,神戸市立第一高等女学校,,,,1939年,
小鳩 ゆめじ,こばと ゆめじ,5月5日,大韓民国ソウル市,,,京ちゃん,,1940年,
葛城 里子,かつらぎ さとこ,8月18日,東京都,,,,,1938年,
春野 恵美子,はるの えみこ,8月31日,,,,,男役,1938年,
水尾 みさを,みずお みさを,2月3日,京都府,同志社高等女学校,,,,1937年,俳優・横田みさを夫は作曲家・竹岡信幸
鈴川 百代,すずかわ ももよ,7月9日,大阪府大阪市,,,松ちゃん,男役,1945年,
朝緑 澄子,あさみどり すみこ,6月6日,東京都,,実姉が考案,おトヨ,男役,1938年,
大宮 一子,おおみや いちこ,,,,,,,1935年,
山川 あさ子,やまかわ あさこ,3月20日,,,,,,1936年,1936年3月、在団中に逝去
鈴野 妙子,すずの たえこ,1月10日,,,,,,1937年,
藤野 千絵子,ふじの ちえこ,3月18日,京都府,,,レイコ,娘役,1940年,
朝川 美智代,あさかわ みちよ,11月26日,大阪府,,,,,1938年,
高嶺 とき子,たかね ときこ,4月12日,大阪府,,,,,1941年,改名前は高嶺登極子姉は昇道子
春菜 千重子,はるな ちえこ,11月19日,大阪府,,,,,1938年,
千鈴 美音子,ちすず みねこ,4月14日,兵庫県豊岡市城崎,大阪府立大手前高等女学校,,マアちゃんマア公,娘役,1939年,
南 朝緒,みなみ あさお,11月29日,静岡県,,,ヤギちゃん,娘役,1941年,
花村 由利子,はなむら ゆりこ,12月30日,大阪府大阪市,,,オコン,娘役,1948年,
梓川 冴子,あずさがわ さえこ,9月15日,福井県敦賀市,,,,,1939年,
響 千鈴,ひびき ちすず,4月1日,宮城県仙台市,宣眞高等女学校,,モッちゃんオモチ,娘役,1940年,
曙 さやか,あけぼの さやか,6月28日,秋田県横手市,,,,,1938年,
櫻木 彌生,さくらぎ やよい,2月22日,兵庫県神戸市,,,チン,,1939年,
旭 玲子,あさひ れいこ,,,,,,,1938年,
水庭 愛子,みずにわ あいこ,1月20日,兵庫県西宮市,,,,,1938年,
松葉 巴,まつば ともえ,,,,,,,1938年,
東雲 千鶴子,しののめ ちづこ,1月27日,大阪府,,,ミクツちゃん,娘役,1940年,
小竹 よしゑ,こたけ よしえ,,,,,,　,1936年,1936年3月10日、在団中に逝去
麗 明美,うらら あけみ,3月17日,京都府京都市,京都府立第一高等女学校,中山晋平が命名,ミカちゃん,両方,1944年,
真帆 はるみ,まほ はるみ,6月25日,東京都,,,,,1938年,夫は宮口精二息子は宮口トモオ
花衣 みな子,はごろも みなこ,4月26日,兵庫県神戸市,,,,,1940年,
天原 まゆみ,あまはら まゆみ,5月5日,,,,,,1942年,
若宮 晴代,わかみや はるよ,10月20日,大阪府,,,,,1939年,改名後・若宮茜（わかみや あかね）
玉浦 登志子,たまうら としこ,,,,,,,1939年,
夢 たづる,ゆめ たづる,3月11日,広島県呉市,神戸市立眞野尋常小学校,,モリちゃん,,1940年,
水穂 豊,みずほ ゆたか,3月13日,大阪府大阪市,,,,,1940年,
花盛 江美子,はなもり えみこ,11月26日,東京都中央区,,,,,1944年,
千曲 さざれ,ちくま さざれ,,,,,,,1937年,
八代 夕葉,やしろ ゆうば,7月7日,熊本県八代市,,,,,1939年,
峰山 花香,みねやま はなか,1月1日,大阪府,,,,,1944年,
笹野 町子,ささの まちこ,8月25日,兵庫県西宮市,,,,娘役,1941年,
浦風 三穂子,うらかぜ みほこ,,兵庫県神戸市,,,,,1936年,
小波 志賀子,さざなみ しがこ,4月29日,東京都新宿区,,,,,1938年,
秋篠 友子,あきしの ともこ,8月6日,東京都,,,,,1943年,
大和 櫻子,やまと さくらこ,,,,,,,1935年,1935年10月22日、在団中に逝去
百合 小夜子,ゆり さよこ,8月16日,大阪府大阪市,大阪市鷺洲第四尋常高等小学校,宝塚音楽学校で命名して貰う,,,1942年,娘はありす未来妹は浦島歌女
早霧 静子,はぎり しずこ,6月21日,兵庫県神戸市,,,,,1938年,
山里 秋子,やまざと あきこ,3月12日,大阪府,,,,,1940年,
